Instrument,SoldQuantity,BuyAvg,BuyValue,SellAvg,SellValue,NetRealizedPnL,RealisedGLPerc,CloseQuantityAsOnLastDay,BuyAvgOpenPrice,SellAvgPrice,CMP,NetUnrealizedPnL,NetUnrealizedPnlPerc,TotalGL,TotalGLPerc,DayGL,DayGLPerc,AssetType
,,,4170833635,,4183716272,12882636.85,,,,,,0,,12882636.85,,0,,
ACC-FUT-24Jun2021-NSE,2000,2028.43,4056860,2041.5,4083000,26140,0.64%,0,0,0,0,0,0,26140,0.64%,,%,FnO
ACC-FUT-29Jul2021-NSE,4000,2085.9,8343580,2089.67,8358680,15100,0.18%,0,0,0,0,0,0,15100,0.18%,,%,FnO
ACC-FUT-30Dec2021-NSE,1500,2162.35,3243525,2156.43,3234645,-8880,-0.27%,0,0,0,0,0,0,-8880,-0.27%,,%,FnO
ACC-OPT-26Aug2021-PE-2300-NSE,2500,38.16,95400,23.89,59725,-35675,-37.40%,0,0,0,0,0,0,-35675,-37.40%,,%,FnO
ACC-OPT-29Jul2021-CE-2140-NSE,2000,27.15,54300,25.89,51780,-2520,-4.64%,0,0,0,0,0,0,-2520,-4.64%,,%,FnO
ADANIENT-FUT-27May2021-NSE,2000,1325.22,2650440,1314.18,2628360,-22080,-0.84%,0,0,0,0,0,0,-22080,-0.83%,,%,FnO
ADANIENT-OPT-24Jun2021-PE-1200-NSE,8000,33.99,271920,40.15,321200,49280,18.12%,0,0,0,0,0,0,49280,18.12%,,%,FnO
ADANIENT-OPT-24Jun2021-PE-1400-NSE,4000,114.94,459760,100.77,403080,-56680,-12.33%,0,0,0,0,0,0,-56680,-12.33%,,%,FnO
ADANIENT-OPT-24Jun2021-PE-1600-NSE,3000,56.15,168450,56.42,169260,810,0.48%,0,0,0,0,0,0,810,0.48%,,%,FnO
ADANIENT-OPT-26Aug2021-PE-1400-NSE,5000,31.07,155350,16.96,84800,-70550,-45.41%,0,0,0,0,0,0,-70550,-45.41%,,%,FnO
ADANIENT-OPT-27Jan2022-CE-1800-NSE,3000,69.18,207537.63,81.82,245462.14,37924.51,18.27%,0,0,0,0,0,0,37924.51,18.27%,,%,FnO
ADANIENT-OPT-27Jan2022-CE-2000-NSE,3000,20.02,60071.65,15.9,47690.99,-12380.66,-20.61%,0,0,0,0,0,0,-12380.66,-20.61%,,%,FnO
ADANIENT-OPT-27May2021-PE-1200-NSE,5000,38.14,190700,26.3,131510,-59190,-31.04%,0,0,0,0,0,0,-59190,-31.04%,,%,FnO
ADANIENT-OPT-27May2021-PE-1300-NSE,2000,18,36000,16.91,33820,-2180,-6.06%,0,0,0,0,0,0,-2180,-6.06%,,%,FnO
ADANIENT-OPT-28Apr2022-CE-1900-NSE,2500,99.1,247745.92,116.83,292076.88,44330.96,17.89%,0,0,0,0,0,0,44330.96,17.89%,,%,FnO
ADANIENT-OPT-28Oct2021-PE-1560-NSE,5000,50.13,250650,49.93,249650,-1000,-0.40%,0,0,0,0,0,0,-1000,-0.40%,,%,FnO
ADANIENT-OPT-29Jul2021-PE-1500-NSE,3000,82.17,246510,84.79,254370,7860,3.19%,0,0,0,0,0,0,7860,3.19%,,%,FnO
ADANIPORTS-FUT-26Aug2021-NSE,5000,713.2,3565975,704.79,3523962.5,-42012.5,-1.18%,0,0,0,0,0,0,-42012.5,-1.18%,,%,FnO
ADANIPORTS-FUT-27Jan2022-NSE,5000,748.21,3741071.25,757.76,3788791.84,47720.59,1.28%,0,0,0,0,0,0,47720.59,1.28%,,%,FnO
