ScriptName,ISIN,BuyQty,BuyRate,BuyVal,SellQty,SellRate,SellVal,LTPRate,LTPVal,NetRealizedPnL,IncomeTax
ADANIENT23Feb2023CE1500.00,NSE-F&O,250,172.17996,43044.99,250,207.69108,51922.77,0,0,8877.78,2663.33
ADANIENT25Aug2022PE2850.00,NSE-F&O,5000,3.817882,19089.41,5000,20.890996,104454.98,0,0,85365.57,25609.67
ADANIENT25Aug2022PE2950.00,NSE-F&O,5000,43.063636,215318.18,5000,12.450516,62252.58,0,0,-153065.6,0
ADANIENT29Sep2022PE3400.00,NSE-F&O,2000,50.044265,100088.53,2000,27.43468,54869.36,0,0,-45219.17,0
ADANIENT29Sep2022PE3700.00,NSE-F&O,2000,100.69939,201398.78,2000,118.828295,237656.59,0,0,36257.81,10877.34
ADANIENT30Jun2022PE2140.00,NSE-F&O,2500,92.14584,230364.6,2500,99.802,249505,0,0,19140.4,5742.12
ADANIENT30Jun2022PE2160.00,NSE-F&O,5000,73.580928,367904.64,5000,123.297764,616488.82,0,0,248584.18,74575.25
AMARAJABAT24Nov2022,NSE-F&O,2000,600.6478,1201295.6,2000,601.029065,1202058.13,0,0,762.53,228.76
AMARAJABAT24Nov2022CE600.00,NSE-F&O,20000,12.22567325,244513.465,20000,13.16734125,263346.825,0,0,18833.36,5650.01
AMARAJABAT25Aug2022CE500.00,NSE-F&O,13000,18.491322,240387.186,13000,21.020074,273260.962,0,0,32873.776,9862.13
AMARAJABAT28Jul2022,NSE-F&O,3000,478.677953,1436033.859,3000,472.885167,1418655.501,0,0,-17378.358,0
AMARAJABAT28Jul2022CE480.00,NSE-F&O,3000,10.5246,31573.8,3000,8.322887,24968.661,0,0,-6605.139,0
AMARAJABAT29Dec2022CE660.00,NSE-F&O,8000,17.866916,142935.328,8000,23.755488,190043.904,0,0,47108.576,14132.57
AMARAJABAT29Dec2022CE680.00,NSE-F&O,8000,14.126956,113015.648,8000,7.823458,62587.664,0,0,-50427.984,0
AMBUJACEM25Jan2023PE500.00,NSE-F&O,7200,16.220436,116787.1392,7200,16.371725,117876.42,0,0,1089.2808,326.78
AMBUJACEM28Jul2022,NSE-F&O,14400,359.458464,5176201.882,14400,360.862364,5196418.042,0,0,20216.16,6064.85
AMBUJACEM29Sep2022CE470.00,NSE-F&O,5400,20.122643,108662.2722,5400,21.465622,115914.3588,0,0,7252.0866,2175.63
AMBUJACEM29Sep2022PE480.00,NSE-F&O,5400,19.021885,102718.179,5400,21.465589,115914.1806,0,0,13196.0016,3958.8
AMBUJACEM29Sep2022PE500.00,NSE-F&O,7200,5.263247,37895.3784,7200,14.723581,106009.7832,0,0,68114.4048,20434.32
AMBUJACEM29Sep2022PE550.00,NSE-F&O,7200,30.329679,218373.6888,7200,20.4421195,147183.2604,0,0,-71190.4284,0
APOLLOTYRE28Jul2022,NSE-F&O,10500,205.031321,2152828.871,10500,204.881491,2151255.656,0,0,-1573.215,0
ASIANPAINT25Jan2023,NSE-F&O,2000,3061.498475,6122996.95,2000,2975.20225,5950404.5,0,0,-172592.45,0
ASIANPAINT25Jan2023CE3050.00,NSE-F&O,2000,67.18252,134365.04,2000,44.76092,89521.84,0,0,-44843.2,0
ASIANPAINT25Jan2023CE3200.00,NSE-F&O,2000,11.39592,22791.84,2000,18.89009,37780.18,0,0,14988.34,4496.5
ASIANPAINT29Dec2022,NSE-F&O,2000,3051.466065,6102932.13,2000,3066.534595,6133069.19,0,0,30137.06,9041.12
AXISBANK28Jul2022,NSE-F&O,3600,668.402067,2406247.441,3600,670.630431,2414269.552,0,0,8022.1104,2406.63
AXISBANK28Jul2022CE670.00,NSE-F&O,8400,17.876133,150159.5172,8400,18.963508,159293.4672,0,0,9133.95,2740.19
AXISBANK28Jul2022CE680.00,NSE-F&O,8400,10.271479,86280.4236,8400,46.004745,386439.858,0,0,300159.4344,90047.83
AXISBANK28Jul2022CE700.00,NSE-F&O,8400,26.882381,225812.0004,8400,3.816629,32059.6836,0,0,-193752.3168,0
AXISBANK29Dec2022CE880.00,NSE-F&O,6000,22.079227,132475.362,6000,33.60733,201643.98,0,0,69168.618,20750.59
AXISBANK29Dec2022CE930.00,NSE-F&O,6000,9.821183,58927.098,6000,9.734253,58405.518,0,0,-521.58,0
BAJFINANCE29Dec2022CE6700.00,NSE-F&O,500,138.13212,69066.06,500,64.78518,32392.59,0,0,-36673.47,0
BAJFINANCE29Dec2022CE7000.00,NSE-F&O,500,45.27122,22635.61,500,50.65108,25325.54,0,0,2689.93,806.98
BALKRISIND25Aug2022,NSE-F&O,1200,2350.482458,2820578.95,1200,2394.36855,2873242.26,0,0,52663.3104,15798.99
BALKRISIND28Jul2022,NSE-F&O,1800,2175.454056,3915817.301,1800,2174.421967,3913959.541,0,0,-1857.7602,0
BALRAMCHIN26May2022PE370.00,NSE-F&O,6400,11.218781,71800.1984,6400,6.431986,41164.7104,0,0,-30635.488,0
BALRAMCHIN26May2022PE390.00,NSE-F&O,6400,12.456578,79722.0992,6400,12.374766,79198.5024,0,0,-523.5968,0
BALRAMCHIN29Dec2022CE400.00,NSE-F&O,32000,10.47777,335288.64,32000,11.9002925,380809.36,0,0,45520.72,13656.22
BALRAMCHIN30Jun2022,NSE-F&O,4800,367.156115,1762349.352,4800,359.40914,1725163.872,0,0,-37185.48,0
BALRAMCHIN30Jun2022CE360.00,NSE-F&O,4800,16.321331,78342.3888,4800,20.465358,98233.7184,0,0,19891.3296,5967.4
BANDHANBNK29Dec2022CE230.00,NSE-F&O,32400,6.664083,215916.2892,32400,8.391751833,271892.7594,0,0,55976.4702,16792.94
BANKNIFTY01Dec2022CE42800.00,NSE-F&O,1400,257.555129,360577.1806,1400,385.61775,539864.85,0,0,179287.6694,53786.3
BANKNIFTY01Dec2022CE43000.00,NSE-F&O,1000,321.6499798,321649.9798,1000,222.7937798,222793.7798,0,0,-98856.2,0
BANKNIFTY01Dec2022CE43300.00,NSE-F&O,700,105.877014,74113.9098,700,134.089986,93862.9902,0,0,19749.0804,5924.72
BANKNIFTY01Dec2022PE42800.00,NSE-F&O,1400,346.677686,485348.7604,1400,229.157743,320820.8402,0,0,-164527.9202,0
BANKNIFTY01Dec2022PE43000.00,NSE-F&O,1100,12.7557,14031.27,1100,158.1139818,173925.38,0,0,159894.11,47968.23
BANKNIFTY01Sep2022CE38300.00,NSE-F&O,2000,1187.586775,2375173.55,2000,310.90055,621801.1,0,0,-1753372.45,0
BANKNIFTY01Sep2022CE38400.00,NSE-F&O,2000,490.92965,981859.3,2000,937.373985,1874747.97,0,0,892888.67,267866.6
BANKNIFTY01Sep2022CE38900.00,NSE-F&O,3000,159.64226,478926.78,3000,444.05111,1332153.33,0,0,853226.55,255967.97
BANKNIFTY01Sep2022CE39200.00,NSE-F&O,1500,37.271187,55906.7805,1500,39.1937,58790.55,0,0,2883.7695,865.13
BANKNIFTY01Sep2022CE39300.00,NSE-F&O,5625,204.5977153,1150862.148,5625,88.98438568,500537.1695,0,0,-650324.9789,0
BANKNIFTY01Sep2022CE39600.00,NSE-F&O,2025,16.129452,32662.1403,2025,15.859348,32115.1797,0,0,-546.9606,0
BANKNIFTY01Sep2022CE39800.00,NSE-F&O,2000,11.05169,22103.38,2000,168.301385,336602.77,0,0,314499.39,94349.82
BANKNIFTY01Sep2022CE40200.00,NSE-F&O,1200,12.865983,15439.1796,1200,76.20525,91446.3,0,0,76007.1204,22802.14
BANKNIFTY01Sep2022PE38300.00,NSE-F&O,2000,11.813385,23626.77,2000,340.007555,680015.11,0,0,656388.34,196916.5
BANKNIFTY01Sep2022PE38400.00,NSE-F&O,2000,445.860085,891720.17,2000,123.3340004,246668.0008,0,0,-645052.1692,0
BANKNIFTY01Sep2022PE38500.00,NSE-F&O,1200,137.960192,165552.2304,1200,36.506058,43807.2696,0,0,-121744.9608,0
BANKNIFTY01Sep2022PE39000.00,NSE-F&O,3700,107.9601055,399452.3904,3700,252.6823245,934924.6008,0,0,535472.2104,160641.66
BANKNIFTY01Sep2022PE39300.00,NSE-F&O,25,71.72,1793,25,136.2528,3406.32,0,0,1613.32,484
BANKNIFTY01Sep2022PE39500.00,NSE-F&O,1200,496.633392,595960.0704,1200,189.028008,226833.6096,0,0,-369126.4608,0
BANKNIFTY01Sep2022PE39900.00,NSE-F&O,25,422.654,10566.35,25,657.1692,16429.23,0,0,5862.88,1758.86
BANKNIFTY02Feb2023CE40600.00,NSE-F&O,1800,18.673983,33613.1694,1800,501.225889,902206.6002,0,0,868593.4308,260578.03
BANKNIFTY02Feb2023CE40700.00,NSE-F&O,900,22.716422,20444.7798,900,71.054944,63949.4496,0,0,43504.6698,13051.4
BANKNIFTY02Feb2023CE41000.00,NSE-F&O,2625,383.023131,1005435.719,2625,142.1878325,373243.0604,0,0,-632192.6586,0
BANKNIFTY02Feb2023CE41100.00,NSE-F&O,1800,299.003728,538206.7104,1800,88.4012,159122.16,0,0,-379084.5504,0
BANKNIFTY02Feb2023CE41500.00,NSE-F&O,900,12.715878,11444.2902,900,63.2199,56897.91,0,0,45453.6198,13636.09
BANKNIFTY02Feb2023CE42000.00,NSE-F&O,2500,151.5891719,378972.9297,2500,121.81332,304533.3,0,0,-74439.6297,0
BANKNIFTY02Feb2023CE43000.00,NSE-F&O,1800,13.5530275,24395.4495,1800,75.590478,136062.8604,0,0,111667.4109,33500.22
BANKNIFTY02Feb2023PE40000.00,NSE-F&O,2250,15.0515956,33866.0901,2250,82.44341324,185497.6798,0,0,151631.5897,45489.48
BANKNIFTY02Feb2023PE40100.00,NSE-F&O,1800,339.980617,611965.1106,1800,62.904256,113227.6608,0,0,-498737.4498,0
BANKNIFTY02Feb2023PE40300.00,NSE-F&O,2725,86.94876709,236935.3903,2725,94.4962529,257502.2892,0,0,20566.89883,6170.07
BANKNIFTY02Feb2023PE40600.00,NSE-F&O,2700,166.6858,450051.66,2700,374.327789,1010685.03,0,0,560633.3703,168190.01
BANKNIFTY02Feb2023PE41000.00,NSE-F&O,2050,412.7451758,846127.6103,2050,276.9949363,567839.6194,0,0,-278287.9909,0
BANKNIFTY02Jun2022CE34500.00,NSE-F&O,1200,519.117167,622940.6004,1200,783.326683,939992.0196,0,0,317051.4192,95115.43
BANKNIFTY02Jun2022CE35300.00,NSE-F&O,1200,351.050125,421260.15,1200,189.014325,226817.19,0,0,-194442.96,0
BANKNIFTY02Jun2022CE35500.00,NSE-F&O,1225,100.67769,123330.1703,1225,154.713608,189524.1698,0,0,66193.99955,19858.2
BANKNIFTY02Jun2022CE35700.00,NSE-F&O,2500,165.138628,412846.57,2500,60.271952,150679.88,0,0,-262166.69,0
BANKNIFTY02Jun2022CE36300.00,NSE-F&O,1000,14.55088,14550.88,1000,147.31006,147310.06,0,0,132759.18,39827.75
BANKNIFTY02Jun2022PE34500.00,NSE-F&O,1000,17.26767,17267.67,1000,149.02313,149023.13,0,0,131755.46,39526.64
BANKNIFTY02Jun2022PE35000.00,NSE-F&O,1000,92.7497,92749.7,1000,89.14066,89140.66,0,0,-3609.04,0
BANKNIFTY02Jun2022PE35300.00,NSE-F&O,1200,58.860808,70632.9696,1200,44.206025,53047.23,0,0,-17585.7396,0
BANKNIFTY02Jun2022PE35500.00,NSE-F&O,1200,24.10355,28924.26,1200,211.060458,253272.5496,0,0,224348.2896,67304.49
BANKNIFTY02Jun2022PE35700.00,NSE-F&O,2000,204.66012,409320.24,2000,311.49166,622983.32,0,0,213663.08,64098.92
BANKNIFTY02Jun2022PE36000.00,NSE-F&O,1200,416.08055,499296.66,1200,705.761908,846914.2896,0,0,347617.6296,104285.29
BANKNIFTY02Mar2023CE40000.00,NSE-F&O,900,342.682389,308414.1501,900,628.532256,565679.0304,0,0,257264.8803,77179.46
BANKNIFTY02Mar2023CE40500.00,NSE-F&O,1925,152.421574,293411.53,1925,147.3801355,283706.7608,0,0,-9704.76915,0
BANKNIFTY02Mar2023CE40800.00,NSE-F&O,1225,58.45178761,71603.43983,1225,67.5400898,82736.61,0,0,11133.17018,3339.95
BANKNIFTY02Mar2023CE40900.00,NSE-F&O,2700,29.46007767,79542.2097,2700,17.453093,47123.3511,0,0,-32418.8586,0
BANKNIFTY02Mar2023CE41100.00,NSE-F&O,900,0,0,900,21.7181,19546.29,0,0,19546.29,5863.89
