,Year,Month,NetRealizedPnLPerc (%),index_monthly_return
0,2020,4,2.66,
1,2020,5,2.75,-3.0
2,2020,6,10.52,8.0
3,2020,7,5.01,7.0
4,2020,8,1.33,3.0
5,2020,9,0.09,-1.0
6,2020,10,0.83,4.0
7,2020,11,-3.66,11.0
8,2020,12,3.83,8.0
9,2021,1,1.96,-2.0
10,2021,2,1.91,7.0
11,2021,3,7.06,1.0
12,2021,4,-3.93,-0.0
13,2021,5,14.41,7.0
14,2021,6,-1.29,1.0
15,2021,7,7.22,0.0
16,2021,8,-1.41,9.0
17,2021,9,-4.38,3.0
18,2021,10,6.17,0.0
19,2021,11,-2.66,-4.0
20,2021,12,1.16,2.0
21,2022,1,-4.61,-0.0
22,2022,2,12.83,-3.0
23,2022,3,14.18,4.0
24,2022,4,-0.27,-2.0
25,2022,5,7.25,-3.0
26,2022,6,7.76,-5.0
27,2022,7,-0.6,9.0
28,2022,8,-0.03,4.0
29,2022,9,3.74,-4.0
30,2022,10,0.9,5.0
31,2022,11,2.81,4.0
32,2022,12,3.52,-3.0
33,2023,1,1.86,-2.0
34,2023,2,-3.41,-2.0
35,2023,3,1.65,0.0
36,2023,4,0.18,3.0
