Date,company,Open,High,Low,Close,Adj Close,Volume
2008-01-01,DRREDDY,720.0,730.0,718.7000122070312,725.1500244140625,640.4717407226562,191624
2008-01-02,DRREDDY,720.5,763.0,714.0,745.5499877929688,658.4896850585938,712494
2008-01-03,DRREDDY,744.0,744.0,710.25,714.2999877929688,630.8887329101562,442193
2008-01-04,DRREDDY,714.0,739.9000244140625,712.0,728.7000122070312,643.6072387695312,519294
2008-01-07,DRREDDY,709.0,720.0,703.0,712.2999877929688,629.1223754882812,557416
2008-01-08,DRREDDY,726.0,726.0,700.0999755859375,704.6500244140625,622.36572265625,163969
2008-01-09,DRREDDY,701.0,714.0,693.25,698.5499877929688,616.97802734375,155153
2008-01-10,DRREDDY,695.0,704.9000244140625,672.1500244140625,682.0499877929688,602.40478515625,322773
2008-01-11,DRREDDY,682.0,700.0,666.0,678.9000244140625,599.6226806640625,134128
2008-01-14,DRREDDY,678.9000244140625,687.7999877929688,660.0,668.2999877929688,590.2603759765625,477919
2008-01-15,DRREDDY,685.0,685.0,668.0,672.9000244140625,594.3231811523438,144395
2008-01-16,DRREDDY,654.25,680.0,654.25,671.7999877929688,593.3516845703125,210680
2008-01-17,DRREDDY,676.0,685.0,660.0499877929688,671.8499755859375,593.3958129882812,190968
2008-01-18,DRREDDY,653.5999755859375,679.9500122070312,653.5999755859375,670.1500244140625,591.8944091796875,409149
2008-01-21,DRREDDY,675.0,675.0,610.0,622.9500122070312,550.2061157226562,411717
2008-01-22,DRREDDY,600.0,615.0,500.1000061035156,595.0,525.5199584960938,1100692
2008-01-23,DRREDDY,649.9000244140625,649.9000244140625,600.0,608.25,537.2227172851562,261458
2008-01-24,DRREDDY,611.5499877929688,635.0,525.2000122070312,564.25,498.3606262207031,358240
2008-01-25,DRREDDY,575.0,625.0,575.0,603.8499755859375,533.3363037109375,402016
2008-01-28,DRREDDY,570.0,580.0,540.0,566.0999755859375,499.9946594238281,614369
2008-01-29,DRREDDY,624.0,624.0,538.0,539.7999877929688,476.765625,330841
2008-01-30,DRREDDY,548.0,558.0,530.0,535.5499877929688,473.0120544433594,340773
2008-01-31,DRREDDY,536.0499877929688,545.0999755859375,518.8499755859375,529.25,467.44775390625,418817
2008-02-01,DRREDDY,530.0,535.5,518.0,527.0499877929688,465.50469970703125,264785
2008-02-04,DRREDDY,534.0,543.0,513.4500122070312,524.3499755859375,463.1199035644531,501842
2008-02-05,DRREDDY,525.0,551.0,525.0,545.3499755859375,481.66766357421875,851318
2008-02-06,DRREDDY,525.0,540.0,525.0,532.75,470.5390319824219,181149
2008-02-07,DRREDDY,530.0999755859375,537.0,520.0,522.5999755859375,461.5742492675781,71619
