entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,year,CEprice
2020-01-02 15:15:00,2020-01-02,2020-01-02,2020-01-02,32459.95,32700,32200,BANKNIFTY20010232700CE,2020,0.05
2020-01-09 15:15:00,2020-01-09,2020-01-09,2020-01-09,32099.7,32350,31850,BANKNIFTY20010932350CE,2020,
2020-01-16 15:15:00,2020-01-16,2020-01-16,2020-01-16,31852.4,32100,31600,BANKNIFTY20011632100CE,2020,0.1
2020-01-23 15:15:00,2020-01-23,2020-01-23,2020-01-23,30997.85,31250,30750,BANKNIFTY20012331250CE,2020,
2020-01-30 15:15:00,2020-01-30,2020-01-30,2020-01-30,30644.1,30900,30400,BANKNIFTY20013030900CE,2020,0.15
2020-02-06 15:15:00,2020-02-06,2020-02-06,2020-02-06,31300.95,31550,31050,BANKNIFTY20020631550CE,2020,
2020-02-13 15:15:00,2020-02-13,2020-02-13,2020-02-13,31222.75,31450,30950,BANKNIFTY20021331450CE,2020,
2020-02-20 15:15:00,2020-02-20,2020-02-20,2020-02-20,30959.6,31200,30700,BANKNIFTY20022031200CE,2020,0.1
2020-02-27 15:15:00,2020-02-27,2020-02-27,2020-02-27,30190.25,30450,29950,BANKNIFTY20022730450CE,2020,
2020-03-05 15:15:00,2020-03-05,2020-03-05,2020-03-05,28818.6,29050,28550,BANKNIFTY20030529050CE,2020,
2020-03-12 15:15:00,2020-03-12,2020-03-12,2020-03-12,23915.55,24150,23650,BANKNIFTY20031224150CE,2020,
2020-03-19 15:15:00,2020-03-19,2020-03-19,2020-03-19,20057.35,20300,19800,BANKNIFTY20031920300CE,2020,1.0
2020-03-26 15:15:00,2020-03-26,2020-03-26,2020-03-26,19600.55,19850,19350,BANKNIFTY20032619850CE,2020,
2020-04-01 15:15:00,2020-04-01,2020-04-01,2020-04-01,18212.85,18450,17950,BANKNIFTY20040118450CE,2020,
2020-04-09 15:15:00,2020-04-09,2020-04-09,2020-04-09,19938.7,20200,19700,BANKNIFTY20040920200CE,2020,0.1
2020-04-16 15:15:00,2020-04-16,2020-04-16,2020-04-16,19406.25,19650,19150,BANKNIFTY20041619650CE,2020,
2020-04-23 15:15:00,2020-04-23,2020-04-23,2020-04-23,20260.05,20500,20000,BANKNIFTY20042320500CE,2020,0.15
2020-04-30 15:15:00,2020-04-30,2020-04-30,2020-04-30,21546.05,21800,21300,BANKNIFTY20043021800CE,2020,0.3
2020-05-07 15:15:00,2020-05-07,2020-05-07,2020-05-07,19502.05,19750,19250,BANKNIFTY20050719750CE,2020,
2020-05-14 15:15:00,2020-05-14,2020-05-14,2020-05-14,19047.85,19300,18800,BANKNIFTY20051419300CE,2020,0.1
2020-05-21 15:15:00,2020-05-21,2020-05-21,2020-05-21,17738.05,18000,17500,BANKNIFTY20052118000CE,2020,0.15
2020-05-28 15:15:00,2020-05-28,2020-05-28,2020-05-28,19155.2,19400,18900,BANKNIFTY20052819400CE,2020,0.05
2020-06-04 15:15:00,2020-06-04,2020-06-04,2020-06-04,20392.4,20650,20150,BANKNIFTY20060420650CE,2020,
2020-06-11 15:15:00,2020-06-11,2020-06-11,2020-06-11,20508.45,20750,20250,BANKNIFTY20061120750CE,2020,
2020-06-18 15:15:00,2020-06-18,2020-06-18,2020-06-18,20926.25,21200,20700,BANKNIFTY20061821200CE,2020,0.2
2020-06-25 15:15:00,2020-06-25,2020-06-25,2020-06-25,21509.65,21750,21250,BANKNIFTY20062521750CE,2020,
2020-07-02 15:15:00,2020-07-02,2020-07-02,2020-07-02,21919.4,22150,21650,BANKNIFTY20070222150CE,2020,
