SNo,Portfolio Name,Leg ID,Exchange,Exchange Symbol,Product,Order Type,Order ID,Time,Txn,Qty,Filled Qty,Exchg Time,Avg Price,Status,Limit Price,Order Failed,User ID,User Alias,Remarks,Tag
1,NF_CSL_STRANGS, 2047,NFO,NIFTY 01JUN23 18650 CE,MIS,MARKET,1100039198,29-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,68.35,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008597
2,NF_CSL_STRANGS, 2047,NFO,NIFTY 01JUN23 18650 CE,MIS,MARKET,202010008601,29-May-2023 09.18.11,SELL,150,150,29-May-2023 09.18.11,67.85,COMPLETE,0,False,SIM1,SIMULATED1,,10008598
3,NF_CSL_STRANGS, 2047,NFO,NIFTY 01JUN23 18650 CE,MIS,MARKET,230529000018003,29-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,68.50,COMPLETE,0,False,50062865,RKEDEL,,10008599
4,NF_CSL_STRANGS, 2048,NFO,NIFTY 01JUN23 18550 PE,MIS,MARKET,1100039195,29-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,51.20,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008600
5,NF_CSL_STRANGS, 2048,NFO,NIFTY 01JUN23 18550 PE,MIS,MARKET,202010008604,29-May-2023 09.18.11,SELL,150,150,29-May-2023 09.18.11,51.65,COMPLETE,0,False,SIM1,SIMULATED1,,10008602
6,NF_CSL_STRANGS, 2048,NFO,NIFTY 01JUN23 18550 PE,MIS,MARKET,230529000018010,29-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,51.15,COMPLETE,0,False,50062865,RKEDEL,,10008603
7,NF_CSL_STRANGS, 2049,NFO,NIFTY 01JUN23 18700 CE,MIS,MARKET,202010008610,29-May-2023 09.18.11,SELL,150,150,29-May-2023 09.18.11,46.35,COMPLETE,0,False,SIM1,SIMULATED1,,10008606
8,NF_CSL_STRANGS, 2049,NFO,NIFTY 01JUN23 18700 CE,MIS,MARKET,1100039207,29-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,46.85,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008607
9,NF_CSL_STRANGS, 2049,NFO,NIFTY 01JUN23 18700 CE,MIS,MARKET,230529000018026,29-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,46.90,COMPLETE,0,False,50062865,RKEDEL,,10008609
10,NF_CSL_STRANGS, 2050,NFO,NIFTY 01JUN23 18500 PE,MIS,MARKET,202010008615,29-May-2023 09.18.11,SELL,150,150,29-May-2023 09.18.12,37.65,COMPLETE,0,False,SIM1,SIMULATED1,,10008611
11,NF_CSL_STRANGS, 2050,NFO,NIFTY 01JUN23 18500 PE,MIS,MARKET,1100039216,29-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,37.37,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008612
12,NF_CSL_STRANGS, 2050,NFO,NIFTY 01JUN23 18500 PE,MIS,MARKET,230529000018038,29-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,37.30,COMPLETE,0,False,50062865,RKEDEL,,10008614
13,NF_70PCT, 2051,NFO,NIFTY 01JUN23 18600 CE,MIS,MARKET,1100039244,29-May-2023 09.18.12,SELL,150,150,01-Jan-0001 00.00.00,96.05,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008617
14,NF_70PCT, 2051,NFO,NIFTY 01JUN23 18600 CE,MIS,MARKET,230529000018085,29-May-2023 09.18.12,SELL,150,150,01-Jan-0001 00.00.00,96.07,COMPLETE,0,False,50062865,RKEDEL,,10008618
15,NF_70PCT, 2051,NFO,NIFTY 01JUN23 18600 CE,MIS,MARKET,202010008623,29-May-2023 09.18.12,SELL,150,150,29-May-2023 09.18.13,94.75,COMPLETE,0,False,SIM1,SIMULATED1,,10008619
