entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
02-01-2020 15:15,02-01-2020,02-01-2020,02-01-2020,32459.95,32700,32200,BANKNIFTY20010232700CE,BANKNIFTY20010232200PE,2020,0.05,0.15
09-01-2020 15:15,09-01-2020,09-01-2020,09-01-2020,32099.7,32350,31850,BANKNIFTY20010932350CE,BANKNIFTY20010931850PE,2020,,
16-01-2020 15:15,16-01-2020,16-01-2020,16-01-2020,31852.4,32100,31600,BANKNIFTY20011632100CE,BANKNIFTY20011631600PE,2020,0.1,0.05
23-01-2020 15:15,23-01-2020,23-01-2020,23-01-2020,30997.85,31250,30750,BANKNIFTY20012331250CE,BANKNIFTY20012330750PE,2020,,
30-01-2020 15:15,30-01-2020,30-01-2020,30-01-2020,30644.1,30900,30400,BANKNIFTY20013030900CE,BANKNIFTY20013030400PE,2020,0.15,0.2
06-02-2020 15:15,06-02-2020,06-02-2020,06-02-2020,31300.95,31550,31050,BANKNIFTY20020631550CE,BANKNIFTY20020631050PE,2020,,
13-02-2020 15:15,13-02-2020,13-02-2020,13-02-2020,31222.75,31450,30950,BANKNIFTY20021331450CE,BANKNIFTY20021330950PE,2020,,
20-02-2020 15:15,20-02-2020,20-02-2020,20-02-2020,30959.6,31200,30700,BANKNIFTY20022031200CE,BANKNIFTY20022030700PE,2020,0.1,0.1
27-02-2020 15:15,27-02-2020,27-02-2020,27-02-2020,30190.25,30450,29950,BANKNIFTY20022730450CE,BANKNIFTY20022729950PE,2020,,
05-03-2020 15:15,05-03-2020,05-03-2020,05-03-2020,28818.6,29050,28550,BANKNIFTY20030529050CE,BANKNIFTY20030528550PE,2020,,
12-03-2020 15:15,12-03-2020,12-03-2020,12-03-2020,23915.55,24150,23650,BANKNIFTY20031224150CE,BANKNIFTY20031223650PE,2020,,
19-03-2020 15:15,19-03-2020,19-03-2020,19-03-2020,20057.35,20300,19800,BANKNIFTY20031920300CE,BANKNIFTY20031919800PE,2020,1,1.45
26-03-2020 15:15,26-03-2020,26-03-2020,26-03-2020,19600.55,19850,19350,BANKNIFTY20032619850CE,BANKNIFTY20032619350PE,2020,,
01-04-2020 15:15,01-04-2020,01-04-2020,01-04-2020,18212.85,18450,17950,BANKNIFTY20040118450CE,BANKNIFTY20040117950PE,2020,,
