entryDt,relevantEntryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
02-01-2020 15:15,09-01-2020 15:15,02-01-2020,02-01-2020,02-01-2020,32459.95,32550,32350,BANKNIFTY20010932550CE,BANKNIFTY20010932350PE,2020,,
09-01-2020 15:15,16-01-2020 15:15,09-01-2020,09-01-2020,09-01-2020,32099.7,32200,32000,BANKNIFTY20011632200CE,BANKNIFTY20011632000PE,2020,235.05,261.6
16-01-2020 15:15,23-01-2020 15:15,16-01-2020,16-01-2020,16-01-2020,31852.4,31950,31750,BANKNIFTY20012331950CE,BANKNIFTY20012331750PE,2020,,
23-01-2020 15:15,30-01-2020 15:15,23-01-2020,23-01-2020,23-01-2020,30997.85,31100,30900,BANKNIFTY20013031100CE,BANKNIFTY20013030900PE,2020,260.5,195.9
30-01-2020 15:15,06-02-2020 15:15,30-01-2020,30-01-2020,30-01-2020,30644.1,30750,30550,BANKNIFTY20020630750CE,BANKNIFTY20020630550PE,2020,,
06-02-2020 15:15,13-02-2020 15:15,06-02-2020,06-02-2020,06-02-2020,31300.95,31400,31200,BANKNIFTY20021331400CE,BANKNIFTY20021331200PE,2020,225.95,229.8
13-02-2020 15:15,20-02-2020 15:15,13-02-2020,13-02-2020,13-02-2020,31222.75,31300,31100,BANKNIFTY20022031300CE,BANKNIFTY20022031100PE,2020,215,196.4
20-02-2020 15:15,27-02-2020 15:15,20-02-2020,20-02-2020,20-02-2020,30959.6,31050,30850,BANKNIFTY20022731050CE,BANKNIFTY20022730850PE,2020,,
27-02-2020 15:15,05-03-2020 15:15,27-02-2020,27-02-2020,27-02-2020,30190.25,30300,30100,BANKNIFTY20030530300CE,BANKNIFTY20030530100PE,2020,273.55,272.35
05-03-2020 15:15,12-03-2020 15:15,05-03-2020,05-03-2020,05-03-2020,28818.6,28900,28700,BANKNIFTY20031228900CE,BANKNIFTY20031228700PE,2020,351,363.65
12-03-2020 15:15,19-03-2020 15:15,12-03-2020,12-03-2020,12-03-2020,23915.55,24000,23800,BANKNIFTY20031924000CE,BANKNIFTY20031923800PE,2020,709.95,
19-03-2020 15:15,26-03-2020 15:15,19-03-2020,19-03-2020,19-03-2020,20057.35,20150,19950,BANKNIFTY20032620150CE,BANKNIFTY20032619950PE,2020,,
26-03-2020 15:15,01-04-2020 15:15,26-03-2020,26-03-2020,26-03-2020,19600.55,19700,19500,BANKNIFTY20040119700CE,BANKNIFTY20040119500PE,2020,,1360.15
01-04-2020 15:15,09-04-2020 15:15,01-04-2020,01-04-2020,01-04-2020,18212.85,18300,18100,BANKNIFTY20040918300CE,BANKNIFTY20040918100PE,2020,,720
09-04-2020 15:15,16-04-2020 15:15,09-04-2020,09-04-2020,09-04-2020,19938.7,20050,19850,BANKNIFTY20041620050CE,BANKNIFTY20041619850PE,2020,,
16-04-2020 15:15,23-04-2020 15:15,16-04-2020,16-04-2020,16-04-2020,19406.25,19500,19300,BANKNIFTY20042319500CE,BANKNIFTY20042319300PE,2020,579.45,567.35
23-04-2020 15:15,30-04-2020 15:15,23-04-2020,23-04-2020,23-04-2020,20260.05,20350,20150,BANKNIFTY20043020350CE,BANKNIFTY20043020150PE,2020,,
30-04-2020 15:15,07-05-2020 15:15,30-04-2020,30-04-2020,30-04-2020,21546.05,21650,21450,BANKNIFTY20050721650CE,BANKNIFTY20050721450PE,2020,,
07-05-2020 15:15,14-05-2020 15:15,07-05-2020,07-05-2020,07-05-2020,19502.05,19600,19400,BANKNIFTY20051419600CE,BANKNIFTY20051419400PE,2020,537.55,518
14-05-2020 15:15,21-05-2020 15:15,14-05-2020,14-05-2020,14-05-2020,19047.85,19150,18950,BANKNIFTY20052119150CE,BANKNIFTY20052118950PE,2020,,
21-05-2020 15:15,28-05-2020 15:15,21-05-2020,21-05-2020,21-05-2020,17738.05,17850,17650,BANKNIFTY20052817850CE,BANKNIFTY20052817650PE,2020,,
28-05-2020 15:15,04-06-2020 15:15,28-05-2020,28-05-2020,28-05-2020,19155.2,19250,19050,BANKNIFTY20060419250CE,BANKNIFTY20060419050PE,2020,,
04-06-2020 15:15,11-06-2020 15:15,04-06-2020,04-06-2020,04-06-2020,20392.4,20500,20300,BANKNIFTY20061120500CE,BANKNIFTY20061120300PE,2020,,
11-06-2020 15:15,18-06-2020 15:15,11-06-2020,11-06-2020,11-06-2020,20508.45,20600,20400,BANKNIFTY20061820600CE,BANKNIFTY20061820400PE,2020,574.15,587.15
18-06-2020 15:15,25-06-2020 15:15,18-06-2020,18-06-2020,18-06-2020,20926.25,21050,20850,BANKNIFTY20062521050CE,BANKNIFTY20062520850PE,2020,,
25-06-2020 15:15,02-07-2020 15:15,25-06-2020,25-06-2020,25-06-2020,21509.65,21600,21400,BANKNIFTY20070221600CE,BANKNIFTY20070221400PE,2020,508,564.85
02-07-2020 15:15,09-07-2020 15:15,02-07-2020,02-07-2020,02-07-2020,21919.4,22000,21800,BANKNIFTY20070922000CE,BANKNIFTY20070921800PE,2020,475,402.7
09-07-2020 15:15,16-07-2020 15:15,09-07-2020,09-07-2020,09-07-2020,22894.8,23000,22800,BANKNIFTY20071623000CE,BANKNIFTY20071622800PE,2020,391.9,401.9
16-07-2020 15:15,23-07-2020 15:15,16-07-2020,16-07-2020,16-07-2020,21555.25,21650,21450,BANKNIFTY20072321650CE,BANKNIFTY20072321450PE,2020,,
23-07-2020 15:15,30-07-2020 15:15,23-07-2020,23-07-2020,23-07-2020,23078.15,23200,23000,BANKNIFTY20073023200CE,BANKNIFTY20073023000PE,2020,367.5,386.9
30-07-2020 15:15,06-08-2020 15:15,30-07-2020,30-07-2020,30-07-2020,21671.9,21750,21550,BANKNIFTY20080621750CE,BANKNIFTY20080621550PE,2020,,
06-08-2020 15:15,13-08-2020 15:15,06-08-2020,06-08-2020,06-08-2020,21659.05,21750,21550,BANKNIFTY20081321750CE,BANKNIFTY20081321550PE,2020,,
13-08-2020 15:15,20-08-2020 15:15,13-08-2020,13-08-2020,13-08-2020,22196.5,22300,22100,BANKNIFTY20082022300CE,BANKNIFTY20082022100PE,2020,284,304.85
20-08-2020 15:15,27-08-2020 15:15,20-08-2020,20-08-2020,20-08-2020,21989.3,22100,21900,BANKNIFTY20082722100CE,BANKNIFTY20082721900PE,2020,280.4,320
27-08-2020 15:15,03-09-2020 15:15,27-08-2020,27-08-2020,27-08-2020,23585.85,23700,23500,BANKNIFTY20090323700CE,BANKNIFTY20090323500PE,2020,285.65,307.95
03-09-2020 15:15,10-09-2020 15:15,03-09-2020,03-09-2020,03-09-2020,23511.4,23600,23400,BANKNIFTY20091023600CE,BANKNIFTY20091023400PE,2020,417.25,419
