FromDate,ToDate,NetRealizedPnL,NetUnrealizedPnL,TotalGL
2021-04-01,2021-04-01,53844.0,0.0,53844.0
2021-04-05,2021-04-05,-224408.5,0.0,-224408.5
2021-04-06,2021-04-06,178464.0,0.0,178464.0
2021-04-07,2021-04-07,-332920.75,0.0,-332920.75
2021-04-08,2021-04-08,189182.75,0.0,189182.75
2021-04-09,2021-04-09,361962.0,0.0,361962.0
2021-04-12,2021-04-12,176376.75,0.0,176376.75
2021-04-13,2021-04-13,298106.75,0.0,298106.75
2021-04-15,2021-04-15,-48015.75,0.0,-48015.75
2021-04-16,2021-04-16,-38855.0,0.0,-38855.0
2021-04-19,2021-04-19,292799.25,0.0,292799.25
2021-04-20,2021-04-20,-616539.0,0.0,-616539.0
2021-04-22,2021-04-22,1272901.25,0.0,1272901.25
2021-04-23,2021-04-23,158695.75,0.0,158695.75
2021-04-26,2021-04-26,-680358.5,0.0,-680358.5
2021-04-27,2021-04-27,211107.0,0.0,211107.0
2021-04-28,2021-04-28,-424714.75,0.0,-424714.75
2021-04-29,2021-04-29,-175640.0,0.0,-175640.0
2021-04-30,2021-04-30,180672.0,0.0,180672.0
2021-05-03,2021-05-03,57275.5,0.0,57275.5
2021-05-04,2021-05-04,597981.0,0.0,597981.0
2021-05-05,2021-05-05,-118216.75,0.0,-118216.75
2021-05-06,2021-05-06,856668.25,0.0,856668.25
2021-05-07,2021-05-07,-586832.0,0.0,-586832.0
2021-05-10,2021-05-10,345495.5,0.0,345495.5
2021-05-11,2021-05-11,152608.5,0.0,152608.5
2021-05-12,2021-05-12,-180288.75,0.0,-180288.75
2021-05-14,2021-05-14,96054.75,0.0,96054.75
2021-05-17,2021-05-17,-244316.3,0.0,-244316.3
2021-05-18,2021-05-18,1022583.0,0.0,1022583.0
2021-05-19,2021-05-19,64127.0,0.0,64127.0
2021-05-20,2021-05-20,461623.5,0.0,461623.5
2021-05-21,2021-05-21,37530.0,0.0,37530.0
2021-05-24,2021-05-24,329522.0,0.0,329522.0
2021-05-25,2021-05-25,186206.25,0.0,186206.25
2021-05-26,2021-05-26,133424.0,0.0,133424.0
2021-05-27,2021-05-27,676250.75,0.0,676250.75
2021-05-28,2021-05-28,-3900.0,0.0,-3900.0
2021-05-31,2021-05-31,300414.5,0.0,300414.5
2021-06-01,2021-06-01,672801.75,0.0,672801.75
2021-06-02,2021-06-02,24891.0,0.0,24891.0
2021-06-03,2021-06-03,-66994.0,0.0,-66994.0
2021-06-04,2021-06-04,72872.0,0.0,72872.0
2021-06-07,2021-06-07,8036.0,0.0,8036.0
2021-06-08,2021-06-08,620365.8,0.0,620365.8
2021-06-09,2021-06-09,-771773.0,0.0,-771773.0
2021-06-10,2021-06-10,521024.5,0.0,521024.5
2021-06-11,2021-06-11,-2101803.5,0.0,-2101803.5
2021-06-14,2021-06-14,-1940.0,0.0,-1940.0
2021-06-15,2021-06-15,-117798.5,0.0,-117798.5
2021-06-16,2021-06-16,260045.5,0.0,260045.5
2021-06-17,2021-06-17,-740552.0,0.0,-740552.0
2021-06-18,2021-06-18,257422.0,0.0,257422.0
2021-06-21,2021-06-21,48970.0,0.0,48970.0
2021-06-22,2021-06-22,128727.0,0.0,128727.0
2021-06-23,2021-06-23,14431.5,0.0,14431.5
2021-06-24,2021-06-24,1391623.75,0.0,1391623.75
2021-06-25,2021-06-25,50870.0,0.0,50870.0
2021-06-28,2021-06-28,283883.0,0.0,283883.0
2021-06-29,2021-06-29,-32769.75,0.0,-32769.75
2021-06-30,2021-06-30,-380520.0,0.0,-380520.0
2021-07-01,2021-07-01,508500.0,0.0,508500.0
2021-07-02,2021-07-02,191018.75,0.0,191018.75
2021-07-05,2021-07-05,25068.5,0.0,25068.5
2021-07-06,2021-07-06,-679710.25,0.0,-679710.25
2021-07-07,2021-07-07,73013.0,0.0,73013.0
2021-07-08,2021-07-08,-262179.0,0.0,-262179.0
2021-07-09,2021-07-09,288080.0,0.0,288080.0
2021-07-12,2021-07-12,-204921.25,0.0,-204921.25
2021-07-13,2021-07-13,-54349.0,0.0,-54349.0
2021-07-14,2021-07-14,-265540.0,0.0,-265540.0
2021-07-15,2021-07-15,651078.75,0.0,651078.75
2021-07-16,2021-07-16,-85984.0,0.0,-85984.0
2021-07-19,2021-07-19,-267924.0,0.0,-267924.0
2021-07-20,2021-07-20,347820.25,0.0,347820.25
2021-07-22,2021-07-22,-464253.69,0.0,-464253.69
2021-07-23,2021-07-23,34536.1,0.0,34536.1
2021-07-26,2021-07-26,318644.0,0.0,318644.0
2021-07-27,2021-07-27,-85583.25,0.0,-85583.25
2021-07-28,2021-07-28,957286.25,0.0,957286.25
2021-07-29,2021-07-29,464254.0,0.0,464254.0
2021-07-30,2021-07-30,-447145.5,0.0,-447145.5
2021-08-02,2021-08-02,266060.75,0.0,266060.75
2021-08-03,2021-08-03,1081920.14,0.0,1081920.14
2021-08-04,2021-08-04,-231265.75,0.0,-231265.75
2021-08-05,2021-08-05,-127770.0,0.0,-127770.0
2021-08-06,2021-08-06,-1362340.0,0.0,-1362340.0
2021-08-09,2021-08-09,-100980.0,0.0,-100980.0
2021-08-10,2021-08-10,270417.0,0.0,270417.0
2021-08-11,2021-08-11,-239025.75,0.0,-239025.75
2021-08-12,2021-08-12,763870.0,0.0,763870.0
2021-08-13,2021-08-13,-285885.75,0.0,-285885.75
2021-08-16,2021-08-16,-12261.5,0.0,-12261.5
2021-08-17,2021-08-17,153374.5,0.0,153374.5
2021-08-18,2021-08-18,-314518.0,0.0,-314518.0
2021-08-20,2021-08-20,739363.0,0.0,739363.0
2021-08-23,2021-08-23,201455.5,0.0,201455.5
2021-08-24,2021-08-24,-312234.0,0.0,-312234.0
2021-08-25,2021-08-25,-163925.0,0.0,-163925.0
2021-08-26,2021-08-26,706835.0,0.0,706835.0
2021-08-27,2021-08-27,256055.0,0.0,256055.0
2021-08-30,2021-08-30,189298.34,0.0,189298.34
2021-08-31,2021-08-31,855588.0,0.0,855588.0
2021-09-01,2021-09-01,365703.5,0.0,365703.5
2021-09-02,2021-09-02,-144583.25,0.0,-144583.25
2021-09-03,2021-09-03,1484281.5,0.0,1484281.5
2021-09-06,2021-09-06,-18920.0,0.0,-18920.0
2021-09-07,2021-09-07,18842.0,0.0,18842.0
2021-09-08,2021-09-08,339549.25,0.0,339549.25
2021-09-09,2021-09-09,-1308268.5,0.0,-1308268.5
2021-09-15,2021-09-15,122076.0,0.0,122076.0
2021-09-16,2021-09-16,1604401.0,0.0,1604401.0
2021-09-17,2021-09-17,87656.0,0.0,87656.0
2021-09-20,2021-09-20,-230744.67,0.0,-230744.67
2021-09-21,2021-09-21,-291715.0,0.0,-291715.0
2021-09-22,2021-09-22,-38883.0,0.0,-38883.0
2021-09-23,2021-09-23,403357.5,0.0,403357.5
2021-09-24,2021-09-24,556385.0,0.0,556385.0
2021-09-27,2021-09-27,-3878262.5,0.0,-3878262.5
2021-09-28,2021-09-28,-2897680.25,0.0,-2897680.25
2021-09-29,2021-09-29,2159653.0,0.0,2159653.0
2021-09-30,2021-09-30,173321.25,0.0,173321.25
2021-10-04,2021-10-04,69624.25,0.0,69624.25
2021-10-05,2021-10-05,130751.0,0.0,130751.0
2021-10-06,2021-10-06,-190831.0,0.0,-190831.0
2021-10-07,2021-10-07,145198.5,0.0,145198.5
2021-10-08,2021-10-08,74109.0,0.0,74109.0
2021-10-11,2021-10-11,-27305.0,0.0,-27305.0
2021-10-12,2021-10-12,115397.5,0.0,115397.5
2021-10-13,2021-10-13,95552.0,0.0,95552.0
2021-10-14,2021-10-14,-264700.88,0.0,-264700.88
2021-10-18,2021-10-18,149445.0,0.0,149445.0
2021-10-19,2021-10-19,-16696.0,0.0,-16696.0
2021-10-20,2021-10-20,-272674.5,0.0,-272674.5
2021-10-21,2021-10-21,248753.0,0.0,248753.0
2021-10-22,2021-10-22,-294394.0,0.0,-294394.0
