FromDate,ToDate,NetRealizedPnL,NetUnrealizedPnL,TotalGL
01-04-2020,01-04-2020,330268,0,330268
03-04-2020,03-04-2020,30016,0,30016
07-04-2020,07-04-2020,-96695,0,-96695
08-04-2020,08-04-2020,-254299,0,-254299
09-04-2020,09-04-2020,205708.5,0,205708.5
13-04-2020,13-04-2020,123265,0,123265
15-04-2020,15-04-2020,326904.55,0,326904.55
16-04-2020,16-04-2020,-4782.75,0,-4782.75
17-04-2020,17-04-2020,177763.75,0,177763.75
20-04-2020,20-04-2020,28010,0,28010
21-04-2020,21-04-2020,76796.25,0,76796.25
22-04-2020,22-04-2020,21071.35,0,21071.35
23-04-2020,23-04-2020,46962,0,46962
24-04-2020,24-04-2020,158907.75,0,158907.75
27-04-2020,27-04-2020,-140395.35,0,-140395.35
28-04-2020,28-04-2020,38951,0,38951
29-04-2020,29-04-2020,171121.25,0,171121.25
30-04-2020,30-04-2020,-356934,0,-356934
04-05-2020,04-05-2020,1022251,0,1022251
05-05-2020,05-05-2020,-385394,0,-385394
06-05-2020,06-05-2020,-179804.75,0,-179804.75
07-05-2020,07-05-2020,672492.5,0,672492.5
08-05-2020,08-05-2020,73753.2,0,73753.2
11-05-2020,11-05-2020,189416.6,0,189416.6
12-05-2020,12-05-2020,270658.15,0,270658.15
13-05-2020,13-05-2020,325894.5,0,325894.5
14-05-2020,14-05-2020,485702.5,0,485702.5
15-05-2020,15-05-2020,-2700,0,-2700
18-05-2020,18-05-2020,60572.75,0,60572.75
19-05-2020,19-05-2020,50881.24,0,50881.24
20-05-2020,20-05-2020,-290330,0,-290330
21-05-2020,21-05-2020,314816.25,0,314816.25
22-05-2020,22-05-2020,258256,0,258256
26-05-2020,26-05-2020,742096,0,742096
27-05-2020,27-05-2020,193569.75,0,193569.75
28-05-2020,28-05-2020,-135039.3,0,-135039.3
29-05-2020,29-05-2020,72080,0,72080
01-06-2020,01-06-2020,-341010.5,0,-341010.5
02-06-2020,02-06-2020,282201,0,282201
03-06-2020,03-06-2020,-976949.15,0,-976949.15
04-06-2020,04-06-2020,1033478.25,0,1033478.25
05-06-2020,05-06-2020,-270832.36,0,-270832.36
08-06-2020,08-06-2020,-51441.66,0,-51441.66
09-06-2020,09-06-2020,363489.15,0,363489.15
10-06-2020,10-06-2020,470695,0,470695
11-06-2020,11-06-2020,51230.25,0,51230.25
12-06-2020,12-06-2020,148863,0,148863
15-06-2020,15-06-2020,53619.03,0,53619.03
16-06-2020,16-06-2020,-549326.7,0,-549326.7
17-06-2020,17-06-2020,409102,0,409102
18-06-2020,18-06-2020,-444949.3,0,-444949.3
19-06-2020,19-06-2020,984695,0,984695
22-06-2020,22-06-2020,370533,0,370533
23-06-2020,23-06-2020,-378487.75,0,-378487.75
24-06-2020,24-06-2020,51414.25,0,51414.25
25-06-2020,25-06-2020,1010552,0,1010552
26-06-2020,26-06-2020,205750,0,205750
29-06-2020,29-06-2020,469589.4,0,469589.4
30-06-2020,30-06-2020,130490,0,130490
01-07-2020,01-07-2020,21599.4,0,21599.4
02-07-2020,02-07-2020,486915.95,0,486915.95
03-07-2020,03-07-2020,-97763,0,-97763
06-07-2020,06-07-2020,-1361.25,0,-1361.25
07-07-2020,07-07-2020,111806.5,0,111806.5
08-07-2020,08-07-2020,869970,0,869970
09-07-2020,09-07-2020,-2068786.5,0,-2068786.5
10-07-2020,10-07-2020,559360,0,559360
13-07-2020,13-07-2020,-1134120,0,-1134120
14-07-2020,14-07-2020,405969,0,405969
15-07-2020,15-07-2020,200285.78,0,200285.78
16-07-2020,16-07-2020,-617864.58,0,-617864.58
17-07-2020,17-07-2020,60646,0,60646
20-07-2020,20-07-2020,-406697.1,0,-406697.1
21-07-2020,21-07-2020,-978837,0,-978837
22-07-2020,22-07-2020,1093822.5,0,1093822.5
23-07-2020,23-07-2020,348906.25,0,348906.25
24-07-2020,24-07-2020,-49700,0,-49700
27-07-2020,27-07-2020,-803178,0,-803178
28-07-2020,28-07-2020,-47996.5,0,-47996.5
29-07-2020,29-07-2020,646381.65,0,646381.65
30-07-2020,30-07-2020,170056.75,0,170056.75
31-07-2020,31-07-2020,208998.2,0,208998.2
03-08-2020,03-08-2020,26320.75,0,26320.75
04-08-2020,04-08-2020,41604,0,41604
05-08-2020,05-08-2020,-641883.25,0,-641883.25
06-08-2020,06-08-2020,607711,0,607711
07-08-2020,07-08-2020,-18203,0,-18203
10-08-2020,10-08-2020,-283096,0,-283096
11-08-2020,11-08-2020,-369673.25,0,-369673.25
12-08-2020,12-08-2020,-76846,0,-76846
13-08-2020,13-08-2020,10366,0,10366
14-08-2020,14-08-2020,15000,0,15000
18-08-2020,18-08-2020,233307.2,0,233307.2
19-08-2020,19-08-2020,89824,0,89824
20-08-2020,20-08-2020,-109160.25,0,-109160.25
21-08-2020,21-08-2020,402440.5,0,402440.5
24-08-2020,24-08-2020,186513.5,0,186513.5
25-08-2020,25-08-2020,-324335,0,-324335
26-08-2020,26-08-2020,495974.67,0,495974.67
27-08-2020,27-08-2020,-62804,0,-62804
28-08-2020,28-08-2020,-337327.5,0,-337327.5
31-08-2020,31-08-2020,142316.75,0,142316.75
01-09-2020,01-09-2020,-833808.5,0,-833808.5
02-09-2020,02-09-2020,42994.5,0,42994.5
03-09-2020,03-09-2020,387651.75,0,387651.75
04-09-2020,04-09-2020,71025.75,0,71025.75
07-09-2020,07-09-2020,171577,0,171577
08-09-2020,08-09-2020,-76690.5,0,-76690.5
09-09-2020,09-09-2020,572586,0,572586
10-09-2020,10-09-2020,-246770,0,-246770
11-09-2020,11-09-2020,-21479.8,0,-21479.8
14-09-2020,14-09-2020,-67969.75,0,-67969.75
15-09-2020,15-09-2020,-39700,0,-39700
16-09-2020,16-09-2020,346638.5,0,346638.5
17-09-2020,17-09-2020,492523.5,0,492523.5
18-09-2020,18-09-2020,-69547.2,0,-69547.2
21-09-2020,21-09-2020,80289.5,0,80289.5
22-09-2020,22-09-2020,-82689,0,-82689
23-09-2020,23-09-2020,175710.08,0,175710.08
24-09-2020,24-09-2020,-289715.57,0,-289715.57
25-09-2020,25-09-2020,-29165.34,0,-29165.34
28-09-2020,28-09-2020,243100.25,0,243100.25
29-09-2020,29-09-2020,-407864.25,0,-407864.25
30-09-2020,30-09-2020,-414815.25,0,-414815.25
01-10-2020,01-10-2020,157701.5,0,157701.5
05-10-2020,05-10-2020,-344869.5,0,-344869.5
06-10-2020,06-10-2020,255700,0,255700
07-10-2020,07-10-2020,1226672,0,1226672
08-10-2020,08-10-2020,368896.25,0,368896.25
09-10-2020,09-10-2020,-631027,0,-631027
12-10-2020,12-10-2020,1869,0,1869
14-10-2020,14-10-2020,516475.5,0,516475.5
15-10-2020,15-10-2020,-1126145.5,0,-1126145.5
19-10-2020,19-10-2020,-200064.06,0,-200064.06
20-10-2020,20-10-2020,109830.28,0,109830.28
21-10-2020,21-10-2020,-290196.5,0,-290196.5
22-10-2020,22-10-2020,536847,0,536847
23-10-2020,23-10-2020,76920,0,76920
26-10-2020,26-10-2020,17725,0,17725
27-10-2020,27-10-2020,-52659.75,0,-52659.75
28-10-2020,28-10-2020,-535215,0,-535215
29-10-2020,29-10-2020,152322.75,0,152322.75
30-10-2020,30-10-2020,1046354.5,0,1046354.5
02-11-2020,02-11-2020,-1161246,0,-1161246
03-11-2020,03-11-2020,-9787,0,-9787
04-11-2020,04-11-2020,152560.75,0,152560.75
05-11-2020,05-11-2020,663199.15,0,663199.15
06-11-2020,06-11-2020,-944624.25,0,-944624.25
09-11-2020,09-11-2020,420106.5,0,420106.5
10-11-2020,10-11-2020,754338.5,0,754338.5
11-11-2020,11-11-2020,-375645,0,-375645
12-11-2020,12-11-2020,-102246.5,0,-102246.5
14-11-2020,14-11-2020,-17955,0,-17955
17-11-2020,17-11-2020,-109351,0,-109351
18-11-2020,18-11-2020,614916,0,614916
19-11-2020,19-11-2020,-292540,0,-292540
20-11-2020,20-11-2020,-1401919.31,0,-1401919.31
23-11-2020,23-11-2020,-131966.25,0,-131966.25
24-11-2020,24-11-2020,143656.4,0,143656.4
25-11-2020,25-11-2020,537096,0,537096
26-11-2020,26-11-2020,-700183.5,0,-700183.5
27-11-2020,27-11-2020,-6720,0,-6720
01-12-2020,01-12-2020,-197187.75,0,-197187.75
02-12-2020,02-12-2020,21793.75,0,21793.75
03-12-2020,03-12-2020,734431.75,0,734431.75
04-12-2020,04-12-2020,333232,0,333232
07-12-2020,07-12-2020,105300,0,105300
08-12-2020,08-12-2020,101146.75,0,101146.75
09-12-2020,09-12-2020,339319,0,339319
10-12-2020,10-12-2020,106615,0,106615
11-12-2020,11-12-2020,-359344,0,-359344
14-12-2020,14-12-2020,-27664,0,-27664
15-12-2020,15-12-2020,294405,0,294405
16-12-2020,16-12-2020,232091.75,0,232091.75
17-12-2020,17-12-2020,380488.5,0,380488.5
21-12-2020,21-12-2020,-556349.51,0,-556349.51
22-12-2020,22-12-2020,90301.82,0,90301.82
23-12-2020,23-12-2020,543705.5,0,543705.5
24-12-2020,24-12-2020,-1775400.99,0,-1775400.99
28-12-2020,28-12-2020,179481,0,179481
29-12-2020,29-12-2020,-477796,0,-477796
30-12-2020,30-12-2020,569198.05,0,569198.05
31-12-2020,31-12-2020,615374.35,0,615374.35
01-01-2021,01-01-2021,65889.5,0,65889.5
04-01-2021,04-01-2021,-560479,0,-560479
05-01-2021,05-01-2021,217024,0,217024
06-01-2021,06-01-2021,321087,0,321087
07-01-2021,07-01-2021,167420.75,0,167420.75
08-01-2021,08-01-2021,264169,0,264169
11-01-2021,11-01-2021,249473.8,0,249473.8
12-01-2021,12-01-2021,27675.5,0,27675.5
13-01-2021,13-01-2021,419502,0,419502
14-01-2021,14-01-2021,-945610,0,-945610
15-01-2021,15-01-2021,286302.25,0,286302.25
18-01-2021,18-01-2021,-161860,0,-161860
19-01-2021,19-01-2021,-25219.25,0,-25219.25
20-01-2021,20-01-2021,714236.25,0,714236.25
21-01-2021,21-01-2021,-67707.25,0,-67707.25
22-01-2021,22-01-2021,18758.5,0,18758.5
25-01-2021,25-01-2021,460222,0,460222
27-01-2021,27-01-2021,-1745749.75,0,-1745749.75
28-01-2021,28-01-2021,126333.5,0,126333.5
29-01-2021,29-01-2021,-163204.5,0,-163204.5
01-02-2021,01-02-2021,1384696.75,0,1384696.75
02-02-2021,02-02-2021,1875795.25,0,1875795.25
03-02-2021,03-02-2021,1252160,0,1252160
04-02-2021,04-02-2021,-3349605.75,0,-3349605.75
05-02-2021,05-02-2021,-83802,0,-83802
08-02-2021,08-02-2021,-67385,0,-67385
09-02-2021,09-02-2021,331997.25,0,331997.25
10-02-2021,10-02-2021,-70762,0,-70762
11-02-2021,11-02-2021,988498.5,0,988498.5
