FromDate,ToDate,NetRealizedPnL,NetUnrealizedPnL,TotalGL
01-04-2021,01-04-2021,53844,0,53844
05-04-2021,05-04-2021,-224408.5,0,-224408.5
06-04-2021,06-04-2021,178464,0,178464
07-04-2021,07-04-2021,-332920.75,0,-332920.75
08-04-2021,08-04-2021,189182.75,0,189182.75
09-04-2021,09-04-2021,361962,0,361962
12-04-2021,12-04-2021,176376.75,0,176376.75
13-04-2021,13-04-2021,298106.75,0,298106.75
15-04-2021,15-04-2021,-48015.75,0,-48015.75
16-04-2021,16-04-2021,-38855,0,-38855
19-04-2021,19-04-2021,292799.25,0,292799.25
20-04-2021,20-04-2021,-616539,0,-616539
22-04-2021,22-04-2021,1272901.25,0,1272901.25
23-04-2021,23-04-2021,158695.75,0,158695.75
26-04-2021,26-04-2021,-680358.5,0,-680358.5
27-04-2021,27-04-2021,211107,0,211107
28-04-2021,28-04-2021,-424714.75,0,-424714.75
29-04-2021,29-04-2021,-175640,0,-175640
30-04-2021,30-04-2021,180672,0,180672
03-05-2021,03-05-2021,57275.5,0,57275.5
04-05-2021,04-05-2021,597981,0,597981
05-05-2021,05-05-2021,-118216.75,0,-118216.75
06-05-2021,06-05-2021,856668.25,0,856668.25
07-05-2021,07-05-2021,-586832,0,-586832
10-05-2021,10-05-2021,345495.5,0,345495.5
11-05-2021,11-05-2021,152608.5,0,152608.5
12-05-2021,12-05-2021,-180288.75,0,-180288.75
14-05-2021,14-05-2021,96054.75,0,96054.75
17-05-2021,17-05-2021,-244316.3,0,-244316.3
18-05-2021,18-05-2021,1022583,0,1022583
19-05-2021,19-05-2021,64127,0,64127
20-05-2021,20-05-2021,461623.5,0,461623.5
21-05-2021,21-05-2021,37530,0,37530
24-05-2021,24-05-2021,329522,0,329522
25-05-2021,25-05-2021,186206.25,0,186206.25
26-05-2021,26-05-2021,133424,0,133424
27-05-2021,27-05-2021,676250.75,0,676250.75
28-05-2021,28-05-2021,-3900,0,-3900
31-05-2021,31-05-2021,300414.5,0,300414.5
01-06-2021,01-06-2021,672801.75,0,672801.75
02-06-2021,02-06-2021,24891,0,24891
03-06-2021,03-06-2021,-66994,0,-66994
04-06-2021,04-06-2021,72872,0,72872
07-06-2021,07-06-2021,8036,0,8036
08-06-2021,08-06-2021,620365.8,0,620365.8
09-06-2021,09-06-2021,-771773,0,-771773
10-06-2021,10-06-2021,521024.5,0,521024.5
11-06-2021,11-06-2021,-2101803.5,0,-2101803.5
14-06-2021,14-06-2021,-1940,0,-1940
15-06-2021,15-06-2021,-117798.5,0,-117798.5
16-06-2021,16-06-2021,260045.5,0,260045.5
17-06-2021,17-06-2021,-740552,0,-740552
18-06-2021,18-06-2021,257422,0,257422
21-06-2021,21-06-2021,48970,0,48970
22-06-2021,22-06-2021,128727,0,128727
23-06-2021,23-06-2021,14431.5,0,14431.5
24-06-2021,24-06-2021,1391623.75,0,1391623.75
25-06-2021,25-06-2021,50870,0,50870
28-06-2021,28-06-2021,283883,0,283883
29-06-2021,29-06-2021,-32769.75,0,-32769.75
30-06-2021,30-06-2021,-380520,0,-380520
01-07-2021,01-07-2021,508500,0,508500
02-07-2021,02-07-2021,191018.75,0,191018.75
05-07-2021,05-07-2021,25068.5,0,25068.5
06-07-2021,06-07-2021,-679710.25,0,-679710.25
07-07-2021,07-07-2021,73013,0,73013
08-07-2021,08-07-2021,-262179,0,-262179
09-07-2021,09-07-2021,288080,0,288080
12-07-2021,12-07-2021,-204921.25,0,-204921.25
13-07-2021,13-07-2021,-54349,0,-54349
14-07-2021,14-07-2021,-265540,0,-265540
15-07-2021,15-07-2021,651078.75,0,651078.75
16-07-2021,16-07-2021,-85984,0,-85984
19-07-2021,19-07-2021,-267924,0,-267924
20-07-2021,20-07-2021,347820.25,0,347820.25
22-07-2021,22-07-2021,-464253.69,0,-464253.69
23-07-2021,23-07-2021,34536.1,0,34536.1
26-07-2021,26-07-2021,318644,0,318644
27-07-2021,27-07-2021,-85583.25,0,-85583.25
28-07-2021,28-07-2021,957286.25,0,957286.25
29-07-2021,29-07-2021,464254,0,464254
30-07-2021,30-07-2021,-447145.5,0,-447145.5
02-08-2021,02-08-2021,266060.75,0,266060.75
03-08-2021,03-08-2021,1081920.14,0,1081920.14
04-08-2021,04-08-2021,-231265.75,0,-231265.75
05-08-2021,05-08-2021,-127770,0,-127770
06-08-2021,06-08-2021,-1362340,0,-1362340
09-08-2021,09-08-2021,-100980,0,-100980
10-08-2021,10-08-2021,270417,0,270417
11-08-2021,11-08-2021,-239025.75,0,-239025.75
12-08-2021,12-08-2021,763870,0,763870
13-08-2021,13-08-2021,-285885.75,0,-285885.75
16-08-2021,16-08-2021,-12261.5,0,-12261.5
17-08-2021,17-08-2021,153374.5,0,153374.5
18-08-2021,18-08-2021,-314518,0,-314518
20-08-2021,20-08-2021,739363,0,739363
23-08-2021,23-08-2021,201455.5,0,201455.5
24-08-2021,24-08-2021,-312234,0,-312234
25-08-2021,25-08-2021,-163925,0,-163925
26-08-2021,26-08-2021,706835,0,706835
27-08-2021,27-08-2021,256055,0,256055
30-08-2021,30-08-2021,189298.34,0,189298.34
31-08-2021,31-08-2021,855588,0,855588
01-09-2021,01-09-2021,365703.5,0,365703.5
02-09-2021,02-09-2021,-144583.25,0,-144583.25
03-09-2021,03-09-2021,1484281.5,0,1484281.5
06-09-2021,06-09-2021,-18920,0,-18920
07-09-2021,07-09-2021,18842,0,18842
08-09-2021,08-09-2021,339549.25,0,339549.25
09-09-2021,09-09-2021,-1308268.5,0,-1308268.5
15-09-2021,15-09-2021,122076,0,122076
16-09-2021,16-09-2021,1604401,0,1604401
17-09-2021,17-09-2021,87656,0,87656
20-09-2021,20-09-2021,-230744.67,0,-230744.67
21-09-2021,21-09-2021,-291715,0,-291715
22-09-2021,22-09-2021,-38883,0,-38883
