from_date,to_date,NetRealizedPnL,NetUnrealizedPnlPerc,TotalGL
2018-04-04,2018-04-04,-34663.2,0,-34663.2
2018-04-11,2018-04-11,72340,0,72340
2018-04-18,2018-04-18,27620,0,27620
2018-04-19,2018-04-19,-180220,0,-180220
2018-04-20,2018-04-20,-75861.6,0,-75861.6
2018-04-24,2018-04-24,408788,0,408788
2018-04-25,2018-04-25,22580,0,22580
2018-05-02,2018-05-02,120,0,120
2018-05-10,2018-05-10,39280,0,39280
2018-05-15,2018-05-15,-341331,0,-341331
2018-05-18,2018-05-18,25038,0,25038
2018-05-21,2018-05-21,53550,0,53550
2018-05-22,2018-05-22,114795,0,114795
2018-05-23,2018-05-23,372393.75,0,372393.75
2018-05-24,2018-05-24,-483640,0,-483640
2018-05-25,2018-05-25,-425215.5,0,-425215.5
2018-05-29,2018-05-29,411180,0,411180
2018-05-30,2018-05-30,-227866.5,0,-227866.5
2018-05-31,2018-05-31,39949,0,39949
2018-06-05,2018-06-05,-241380,0,-241380
2018-06-06,2018-06-06,91084.5,0,91084.5
2018-06-07,2018-06-07,566980,0,566980
2018-06-11,2018-06-11,-107660,0,-107660
2018-06-14,2018-06-14,195760,0,195760
2018-06-19,2018-06-19,-38920,0,-38920
2018-06-20,2018-06-20,-370895.5,0,-370895.5
2018-06-21,2018-06-21,358100,0,358100
2018-06-25,2018-06-25,97452.4,0,97452.4
2018-06-27,2018-06-27,633700.45,0,633700.45
2018-06-28,2018-06-28,-138961.15,0,-138961.15
2018-07-05,2018-07-05,13661.6,0,13661.6
2018-07-09,2018-07-09,22334,0,22334
2018-07-10,2018-07-10,289727,0,289727
2018-07-11,2018-07-11,16536,0,16536
2018-07-12,2018-07-12,60660,0,60660
2018-07-13,2018-07-13,162200,0,162200
2018-07-16,2018-07-16,-85660,0,-85660
2018-07-17,2018-07-17,-324680,0,-324680
2018-07-19,2018-07-19,-330656.4,0,-330656.4
2018-07-23,2018-07-23,18056.25,0,18056.25
2018-07-24,2018-07-24,-266720,0,-266720
2018-07-25,2018-07-25,139785.6,0,139785.6
2018-07-26,2018-07-26,542029.7,0,542029.7
2018-07-30,2018-07-30,70900,0,70900
2018-08-02,2018-08-02,125810,0,125810
2018-08-03,2018-08-03,74180,0,74180
2018-08-08,2018-08-08,-171120,0,-171120
2018-08-16,2018-08-16,21143.2,0,21143.2
2018-08-17,2018-08-17,159157.5,0,159157.5
2018-08-20,2018-08-20,-23510,0,-23510
2018-08-23,2018-08-23,100778.8,0,100778.8
2018-08-27,2018-08-27,-42962.4,0,-42962.4
2018-08-28,2018-08-28,-848714.4,0,-848714.4
2018-08-30,2018-08-30,334860,0,334860
2018-09-03,2018-09-03,107140,0,107140
2018-09-04,2018-09-04,72320,0,72320
2018-09-05,2018-09-05,355640,0,355640
2018-09-06,2018-09-06,-958140,0,-958140
2018-09-11,2018-09-11,-33720,0,-33720
2018-09-12,2018-09-12,-4620,0,-4620
2018-09-18,2018-09-18,362720,0,362720
2018-09-19,2018-09-19,-338040,0,-338040
2018-09-21,2018-09-21,182128.5,0,182128.5
2018-09-24,2018-09-24,506838.5,0,506838.5
2018-09-25,2018-09-25,-337600,0,-337600
2018-09-26,2018-09-26,-85350,0,-85350
2018-09-27,2018-09-27,486296.27,0,486296.27
2018-09-28,2018-09-28,6440,0,6440
2018-10-01,2018-10-01,98180,0,98180
2018-10-03,2018-10-03,-389990,0,-389990
2018-10-04,2018-10-04,326285.25,0,326285.25
2018-10-05,2018-10-05,641255.5,0,641255.5
2018-10-08,2018-10-08,-238480,0,-238480
2018-10-09,2018-10-09,-120260,0,-120260
2018-10-10,2018-10-10,-575260,0,-575260
2018-10-11,2018-10-11,817227.6,0,817227.6
2018-10-15,2018-10-15,379640,0,379640
2018-10-16,2018-10-16,-337739.6,0,-337739.6
2018-10-17,2018-10-17,915524,0,915524
2018-10-19,2018-10-19,126015.75,0,126015.75
2018-10-24,2018-10-24,299809.75,0,299809.75
2018-10-25,2018-10-25,-660602.25,0,-660602.25
2018-10-29,2018-10-29,-120650,0,-120650
2018-10-30,2018-10-30,702.4,0,702.4
2018-10-31,2018-10-31,891837.3,0,891837.3
2018-11-01,2018-11-01,-263417.4,0,-263417.4
2018-11-02,2018-11-02,158968.8,0,158968.8
2018-11-05,2018-11-05,142308.9,0,142308.9
2018-11-06,2018-11-06,271278,0,271278
2018-11-13,2018-11-13,-93534.8,0,-93534.8
2018-11-14,2018-11-14,264124,0,264124
2018-11-15,2018-11-15,-631470,0,-631470
2018-11-16,2018-11-16,143085.75,0,143085.75
2018-11-19,2018-11-19,201015.75,0,201015.75
2018-11-20,2018-11-20,-75351.85,0,-75351.85
2018-11-21,2018-11-21,677046.25,0,677046.25
2018-11-22,2018-11-22,-21660.4,0,-21660.4
2018-11-26,2018-11-26,-85151.25,0,-85151.25
2018-11-27,2018-11-27,36828,0,36828
2018-11-28,2018-11-28,445668,0,445668
2018-11-29,2018-11-29,-705716.75,0,-705716.75
2018-12-03,2018-12-03,62960,0,62960
2018-12-04,2018-12-04,-27792,0,-27792
2018-12-05,2018-12-05,724981.5,0,724981.5
2018-12-06,2018-12-06,-432287.45,0,-432287.45
2018-12-07,2018-12-07,-78909.75,0,-78909.75
2018-12-10,2018-12-10,9534,0,9534
2018-12-11,2018-12-11,107938.75,0,107938.75
2018-12-12,2018-12-12,330540,0,330540
2018-12-13,2018-12-13,663740.6,0,663740.6
2018-12-14,2018-12-14,7200,0,7200
2018-12-17,2018-12-17,-223750,0,-223750
2018-12-18,2018-12-18,655859,0,655859
2018-12-19,2018-12-19,19010,0,19010
2018-12-20,2018-12-20,773283,0,773283
2018-12-21,2018-12-21,-1076189.85,0,-1076189.85
2018-12-24,2018-12-24,1713.55,0,1713.55
2018-12-26,2018-12-26,-222140,0,-222140
2018-12-27,2018-12-27,-406860,0,-406860
2018-12-28,2018-12-28,11475,0,11475
2018-12-31,2018-12-31,15705,0,15705
2019-01-01,2019-01-01,-622738.8,0,-622738.8
2019-01-02,2019-01-02,453301.1,0,453301.1
2019-01-03,2019-01-03,-67491,0,-67491
2019-01-04,2019-01-04,183878.66,0,183878.66
2019-01-07,2019-01-07,-55530,0,-55530
2019-01-07,2019-01-07,-55530,0,-55530
2019-01-08,2019-01-08,132513.5,0,132513.5
2019-01-09,2019-01-09,732150,0,732150
2019-01-10,2019-01-10,-168856.4,0,-168856.4
2019-01-14,2019-01-14,-5674,0,-5674
2019-01-15,2019-01-15,5721,0,5721
2019-01-16,2019-01-16,173780,0,173780
2019-01-17,2019-01-17,352143.4,0,352143.4
2019-01-18,2019-01-18,-449100.95,0,-449100.95
2019-01-21,2019-01-21,3372,0,3372
2019-01-22,2019-01-22,295627.55,0,295627.55
2019-01-23,2019-01-23,365744.8,0,365744.8
2019-01-24,2019-01-24,66540,0,66540
2019-01-25,2019-01-25,246907.5,0,246907.5
2019-01-28,2019-01-28,-513124.5,0,-513124.5
2019-01-29,2019-01-29,1286844.55,0,1286844.55
2019-01-30,2019-01-30,-1351910.45,0,-1351910.45
2019-01-31,2019-01-31,128538.5,0,128538.5
2019-02-01,2019-02-01,31258,0,31258
2019-02-04,2019-02-04,-30983.5,0,-30983.5
2019-02-05,2019-02-05,13900,0,13900
2019-02-06,2019-02-06,264500,0,264500
2019-02-07,2019-02-07,-191466,0,-191466
2019-02-12,2019-02-12,-93447.25,0,-93447.25
2019-02-13,2019-02-13,71082.5,0,71082.5
2019-02-14,2019-02-14,581442.2,0,581442.2
2019-02-15,2019-02-15,18620,0,18620
2019-02-18,2019-02-18,-111704,0,-111704
2019-02-19,2019-02-19,145273.5,0,145273.5
2019-02-20,2019-02-20,69380,0,69380
2019-02-21,2019-02-21,-539861.25,0,-539861.25
2019-02-22,2019-02-22,122500,0,122500
2019-02-26,2019-02-26,201530.75,0,201530.75
2019-02-27,2019-02-27,262103.25,0,262103.25
2019-02-28,2019-02-28,-280534,0,-280534
2019-03-01,2019-03-01,287420,0,287420
2019-03-05,2019-03-05,-133824.95,0,-133824.95
2019-03-06,2019-03-06,5670,0,5670
2019-03-07,2019-03-07,626398.5,0,626398.5
2019-03-08,2019-03-08,16800,0,16800
2019-03-11,2019-03-11,330117.25,0,330117.25
2019-03-12,2019-03-12,827502.5,0,827502.5
2019-03-13,2019-03-13,845325,0,845325
2019-03-14,2019-03-14,-1684147.25,0,-1684147.25
2019-03-15,2019-03-15,303280,0,303280
2019-03-18,2019-03-18,-806141,0,-806141
2019-03-19,2019-03-19,798420,0,798420
2019-03-20,2019-03-20,418621,0,418621
2019-03-22,2019-03-22,39123,0,39123
2019-03-25,2019-03-25,-262904,0,-262904
2019-03-26,2019-03-26,-1132795.45,0,-1132795.45
2019-03-27,2019-03-27,-198319,0,-198319
2019-03-28,2019-03-28,-152751,0,-152751
2019-04-02,2019-04-02,16100,0,16100
2019-04-03,2019-04-03,641906,0,641906
2019-04-04,2019-04-04,-299260,0,-299260
2019-04-05,2019-04-05,251924,0,251924
2019-04-09,2019-04-09,84960,0,84960
2019-04-10,2019-04-10,374853.25,0,374853.25
2019-04-11,2019-04-11,-223654.25,0,-223654.25
2019-04-12,2019-04-12,3500,0,3500
2019-04-15,2019-04-15,-19125,0,-19125
2019-04-16,2019-04-16,1029830,0,1029830
2019-04-18,2019-04-18,-376894,0,-376894
2019-04-22,2019-04-22,-181767.25,0,-181767.25
2019-04-23,2019-04-23,-154276,0,-154276
2019-04-24,2019-04-24,47406.5,0,47406.5
2019-04-25,2019-04-25,89659.5,0,89659.5
2019-04-26,2019-04-26,-4020,0,-4020
2019-04-30,2019-04-30,33748,0,33748
2019-05-02,2019-05-02,137780.75,0,137780.75
2019-05-03,2019-05-03,799562,0,799562
2019-05-06,2019-05-06,208959.75,0,208959.75
