from_date,to_date,NetRealizedPnL,NetUnrealizedPnlPerc,TotalGL,Nifty
04-04-2018,04-04-2018,-34663.2,0,-34663.2,10128.40039
11-04-2018,11-04-2018,72340,0,72340,10417.15039
18-04-2018,18-04-2018,27620,0,27620,10526.2002
19-04-2018,19-04-2018,-180220,0,-180220,10565.2998
20-04-2018,20-04-2018,-75861.6,0,-75861.6,10564.0498
24-04-2018,24-04-2018,408788,0,408788,10614.34961
25-04-2018,25-04-2018,22580,0,22580,10570.5498
02-05-2018,02-05-2018,120,0,120,10718.0498
10-05-2018,10-05-2018,39280,0,39280,10716.5498
15-05-2018,15-05-2018,-341331,0,-341331,10801.84961
18-05-2018,18-05-2018,25038,0,25038,10596.40039
21-05-2018,21-05-2018,53550,0,53550,10516.7002
22-05-2018,22-05-2018,114795,0,114795,10536.7002
23-05-2018,23-05-2018,372393.75,0,372393.75,10430.34961
24-05-2018,24-05-2018,-483640,0,-483640,10513.84961
25-05-2018,25-05-2018,-425215.5,0,-425215.5,10605.15039
29-05-2018,29-05-2018,411180,0,411180,10633.2998
30-05-2018,30-05-2018,-227866.5,0,-227866.5,10614.34961
31-05-2018,31-05-2018,39949,0,39949,10736.15039
05-06-2018,05-06-2018,-241380,0,-241380,10593.15039
06-06-2018,06-06-2018,91084.5,0,91084.5,10684.65039
07-06-2018,07-06-2018,566980,0,566980,10768.34961
11-06-2018,11-06-2018,-107660,0,-107660,10786.9502
14-06-2018,14-06-2018,195760,0,195760,10808.0498
19-06-2018,19-06-2018,-38920,0,-38920,10710.4502
20-06-2018,20-06-2018,-370895.5,0,-370895.5,10772.0498
21-06-2018,21-06-2018,358100,0,358100,10741.09961
25-06-2018,25-06-2018,97452.4,0,97452.4,10762.4502
27-06-2018,27-06-2018,633700.45,0,633700.45,10671.40039
28-06-2018,28-06-2018,-138961.15,0,-138961.15,10589.09961
05-07-2018,05-07-2018,13661.6,0,13661.6,10749.75
09-07-2018,09-07-2018,22334,0,22334,10852.90039
10-07-2018,10-07-2018,289727,0,289727,10947.25
11-07-2018,11-07-2018,16536,0,16536,10948.2998
12-07-2018,12-07-2018,60660,0,60660,11023.2002
13-07-2018,13-07-2018,162200,0,162200,11018.90039
16-07-2018,16-07-2018,-85660,0,-85660,10936.84961
17-07-2018,17-07-2018,-324680,0,-324680,11008.0498
19-07-2018,19-07-2018,-330656.4,0,-330656.4,10957.09961
23-07-2018,23-07-2018,18056.25,0,18056.25,11084.75
24-07-2018,24-07-2018,-266720,0,-266720,11134.2998
25-07-2018,25-07-2018,139785.6,0,139785.6,11132
26-07-2018,26-07-2018,542029.7,0,542029.7,11167.2998
30-07-2018,30-07-2018,70900,0,70900,11319.5498
02-08-2018,02-08-2018,125810,0,125810,11244.7002
03-08-2018,03-08-2018,74180,0,74180,11360.7998
08-08-2018,08-08-2018,-171120,0,-171120,11450
16-08-2018,16-08-2018,21143.2,0,21143.2,11385.0498
17-08-2018,17-08-2018,159157.5,0,159157.5,11470.75
20-08-2018,20-08-2018,-23510,0,-23510,11551.75
23-08-2018,23-08-2018,100778.8,0,100778.8,11582.75
27-08-2018,27-08-2018,-42962.4,0,-42962.4,11691.9502
28-08-2018,28-08-2018,-848714.4,0,-848714.4,11738.5
30-08-2018,30-08-2018,334860,0,334860,11676.7998
03-09-2018,03-09-2018,107140,0,107140,11582.34961
04-09-2018,04-09-2018,72320,0,72320,11520.2998
05-09-2018,05-09-2018,355640,0,355640,11476.9502
06-09-2018,06-09-2018,-958140,0,-958140,11536.90039
11-09-2018,11-09-2018,-33720,0,-33720,11287.5
12-09-2018,12-09-2018,-4620,0,-4620,11369.90039
18-09-2018,18-09-2018,362720,0,362720,11278.90039
19-09-2018,19-09-2018,-338040,0,-338040,11234.34961
21-09-2018,21-09-2018,182128.5,0,182128.5,11143.09961
24-09-2018,24-09-2018,506838.5,0,506838.5,10967.40039
25-09-2018,25-09-2018,-337600,0,-337600,11067.4502
26-09-2018,26-09-2018,-85350,0,-85350,11053.7998
27-09-2018,27-09-2018,486296.27,0,486296.27,10977.5498
28-09-2018,28-09-2018,6440,0,6440,10930.4502
01-10-2018,01-10-2018,98180,0,98180,11008.2998
03-10-2018,03-10-2018,-389990,0,-389990,10858.25
04-10-2018,04-10-2018,326285.25,0,326285.25,10599.25
05-10-2018,05-10-2018,641255.5,0,641255.5,10316.4502
08-10-2018,08-10-2018,-238480,0,-238480,10348.0498
09-10-2018,09-10-2018,-120260,0,-120260,10301.0498
10-10-2018,10-10-2018,-575260,0,-575260,10460.09961
11-10-2018,11-10-2018,817227.6,0,817227.6,10234.65039
15-10-2018,15-10-2018,379640,0,379640,10512.5
16-10-2018,16-10-2018,-337739.6,0,-337739.6,10584.75
17-10-2018,17-10-2018,915524,0,915524,10453.0498
19-10-2018,19-10-2018,126015.75,0,126015.75,10303.5498
24-10-2018,24-10-2018,299809.75,0,299809.75,10224.75
25-10-2018,25-10-2018,-660602.25,0,-660602.25,10124.90039
29-10-2018,29-10-2018,-120650,0,-120650,10250.84961
30-10-2018,30-10-2018,702.4,0,702.4,10198.40039
31-10-2018,31-10-2018,891837.3,0,891837.3,10386.59961
01-11-2018,01-11-2018,-263417.4,0,-263417.4,10380.4502
02-11-2018,02-11-2018,158968.8,0,158968.8,10553
05-11-2018,05-11-2018,142308.9,0,142308.9,10524
06-11-2018,06-11-2018,271278,0,271278,10530
13-11-2018,13-11-2018,-93534.8,0,-93534.8,10582.5
14-11-2018,14-11-2018,264124,0,264124,10576.2998
15-11-2018,15-11-2018,-631470,0,-631470,10616.7002
16-11-2018,16-11-2018,143085.75,0,143085.75,10682.2002
19-11-2018,19-11-2018,201015.75,0,201015.75,10763.40039
20-11-2018,20-11-2018,-75351.85,0,-75351.85,10656.2002
21-11-2018,21-11-2018,677046.25,0,677046.25,10600.0498
22-11-2018,22-11-2018,-21660.4,0,-21660.4,10526.75
26-11-2018,26-11-2018,-85151.25,0,-85151.25,10628.59961
27-11-2018,27-11-2018,36828,0,36828,10685.59961
28-11-2018,28-11-2018,445668,0,445668,10728.84961
29-11-2018,29-11-2018,-705716.75,0,-705716.75,10858.7002
03-12-2018,03-12-2018,62960,0,62960,10883.75
04-12-2018,04-12-2018,-27792,0,-27792,10869.5
05-12-2018,05-12-2018,724981.5,0,724981.5,10782.90039
06-12-2018,06-12-2018,-432287.45,0,-432287.45,10601.15039
07-12-2018,07-12-2018,-78909.75,0,-78909.75,10693.7002
10-12-2018,10-12-2018,9534,0,9534,10488.4502
11-12-2018,11-12-2018,107938.75,0,107938.75,10549.15039
12-12-2018,12-12-2018,330540,0,330540,10737.59961
13-12-2018,13-12-2018,663740.6,0,663740.6,10791.5498
14-12-2018,14-12-2018,7200,0,7200,10805.4502
17-12-2018,17-12-2018,-223750,0,-223750,10888.34961
18-12-2018,18-12-2018,655859,0,655859,10908.7002
19-12-2018,19-12-2018,19010,0,19010,10967.2998
20-12-2018,20-12-2018,773283,0,773283,10951.7002
21-12-2018,21-12-2018,-1076189.85,0,-1076189.85,10754
24-12-2018,24-12-2018,1713.55,0,1713.55,10663.5
26-12-2018,26-12-2018,-222140,0,-222140,10729.84961
27-12-2018,27-12-2018,-406860,0,-406860,10779.7998
28-12-2018,28-12-2018,11475,0,11475,10859.90039
31-12-2018,31-12-2018,15705,0,15705,10862.5498
01-01-2019,01-01-2019,-622738.8,0,-622738.8,#N/A
02-01-2019,02-01-2019,453301.1,0,453301.1,10792.5
03-01-2019,03-01-2019,-67491,0,-67491,10672.25
04-01-2019,04-01-2019,183878.66,0,183878.66,10727.34961
07-01-2019,07-01-2019,-55530,0,-55530,10771.7998
08-01-2019,08-01-2019,132513.5,0,132513.5,10802.15039
09-01-2019,09-01-2019,732150,0,732150,10855.15039
10-01-2019,10-01-2019,-168856.4,0,-168856.4,10821.59961
14-01-2019,14-01-2019,-5674,0,-5674,10737.59961
15-01-2019,15-01-2019,5721,0,5721,10886.7998
16-01-2019,16-01-2019,173780,0,173780,10890.2998
17-01-2019,17-01-2019,352143.4,0,352143.4,10905.2002
18-01-2019,18-01-2019,-449100.95,0,-449100.95,10906.9502
21-01-2019,21-01-2019,3372,0,3372,10961.84961
22-01-2019,22-01-2019,295627.55,0,295627.55,10922.75
23-01-2019,23-01-2019,365744.8,0,365744.8,10831.5
24-01-2019,24-01-2019,66540,0,66540,10849.7998
25-01-2019,25-01-2019,246907.5,0,246907.5,10780.5498
28-01-2019,28-01-2019,-513124.5,0,-513124.5,10661.5498
29-01-2019,29-01-2019,1286844.55,0,1286844.55,10652.2002
30-01-2019,30-01-2019,-1351910.45,0,-1351910.45,10651.7998
31-01-2019,31-01-2019,128538.5,0,128538.5,10830.9502
01-02-2019,01-02-2019,31258,0,31258,10893.65039
04-02-2019,04-02-2019,-30983.5,0,-30983.5,10912.25
05-02-2019,05-02-2019,13900,0,13900,10934.34961
06-02-2019,06-02-2019,264500,0,264500,11062.4502
07-02-2019,07-02-2019,-191466,0,-191466,11069.40039
12-02-2019,12-02-2019,-93447.25,0,-93447.25,10831.40039
13-02-2019,13-02-2019,71082.5,0,71082.5,#N/A
14-02-2019,14-02-2019,581442.2,0,581442.2,10746.0498
15-02-2019,15-02-2019,18620,0,18620,10724.40039
18-02-2019,18-02-2019,-111704,0,-111704,10640.9502
19-02-2019,19-02-2019,145273.5,0,145273.5,10604.34961
20-02-2019,20-02-2019,69380,0,69380,10735.4502
21-02-2019,21-02-2019,-539861.25,0,-539861.25,10789.84961
22-02-2019,22-02-2019,122500,0,122500,10791.65039
26-02-2019,26-02-2019,201530.75,0,201530.75,10835.2998
27-02-2019,27-02-2019,262103.25,0,262103.25,10806.65039
28-02-2019,28-02-2019,-280534,0,-280534,10792.5
01-03-2019,01-03-2019,287420,0,287420,10863.5
05-03-2019,05-03-2019,-133824.95,0,-133824.95,10987.4502
06-03-2019,06-03-2019,5670,0,5670,11053
07-03-2019,07-03-2019,626398.5,0,626398.5,11058.2002
08-03-2019,08-03-2019,16800,0,16800,11035.40039
11-03-2019,11-03-2019,330117.25,0,330117.25,11168.0498
12-03-2019,12-03-2019,827502.5,0,827502.5,11301.2002
13-03-2019,13-03-2019,845325,0,845325,11341.7002
14-03-2019,14-03-2019,-1684147.25,0,-1684147.25,11343.25
15-03-2019,15-03-2019,303280,0,303280,11426.84961
18-03-2019,18-03-2019,-806141,0,-806141,11462.2002
19-03-2019,19-03-2019,798420,0,798420,11532.40039
20-03-2019,20-03-2019,418621,0,418621,11521.0498
22-03-2019,22-03-2019,39123,0,39123,11456.90039
25-03-2019,25-03-2019,-262904,0,-262904,11354.25
26-03-2019,26-03-2019,-1132795.45,0,-1132795.45,11483.25
27-03-2019,27-03-2019,-198319,0,-198319,11445.0498
28-03-2019,28-03-2019,-152751,0,-152751,11570
02-04-2019,02-04-2019,16100,0,16100,11713.2002
03-04-2019,03-04-2019,641906,0,641906,11643.9502
04-04-2019,04-04-2019,-299260,0,-299260,11598
05-04-2019,05-04-2019,251924,0,251924,11665.9502
09-04-2019,09-04-2019,84960,0,84960,11671.9502
10-04-2019,10-04-2019,374853.25,0,374853.25,11584.2998
11-04-2019,11-04-2019,-223654.25,0,-223654.25,11596.7002
12-04-2019,12-04-2019,3500,0,3500,11643.4502
15-04-2019,15-04-2019,-19125,0,-19125,11690.34961
