entryDt,Entry_relventExpiryDt,Entry_BANKNIFTY_price,Entry_CE_strike,Entry_PE_strike,Entry_symbolCE,Entry_symbolPE,Entry_year,Entry_CEprice,Entry_PEprice,exitDt,Exit_relventExpiryDt,Exit_BANKNIFTY_price,Exit_CE_strike,Exit_PE_strike,Exit_symbolCE,Exit_symbolPE,Exit_year,Exit_CEprice,Exit_PEprice
02-01-2020 15:15,09-01-2020 15:15,32459.95,32600,32400,BANKNIFTY20010932600CE,BANKNIFTY20010932400PE,2020,166.15,165.05,09-01-2020 15:15,09-01-2020 15:15,32099.7,32600,32400,BANKNIFTY20010932600CE,BANKNIFTY20010932400PE,2020,0.05,299.65
09-01-2020 15:15,16-01-2020 15:15,32099.7,32200,32000,BANKNIFTY20011632200CE,BANKNIFTY20011632000PE,2020,235.05,261.6,16-01-2020 15:15,16-01-2020 15:15,31852.4,32200,32000,BANKNIFTY20011632200CE,BANKNIFTY20011632000PE,2020,0.05,146.8
16-01-2020 15:15,23-01-2020 15:15,31852.4,32000,31800,BANKNIFTY20012332000CE,BANKNIFTY20012331800PE,2020,218.05,214,23-01-2020 15:15,23-01-2020 15:15,30997.85,32000,31800,BANKNIFTY20012332000CE,BANKNIFTY20012331800PE,2020,0.1,791.95
23-01-2020 15:15,30-01-2020 15:15,30997.85,31100,30900,BANKNIFTY20013031100CE,BANKNIFTY20013030900PE,2020,260.5,195.9,30-01-2020 15:15,30-01-2020 15:15,30644.1,31100,30900,BANKNIFTY20013031100CE,BANKNIFTY20013030900PE,2020,0.2,242.55
30-01-2020 15:15,06-02-2020 15:15,30644.1,30700,30500,BANKNIFTY20020630700CE,BANKNIFTY20020630500PE,2020,473.55,381.25,06-02-2020 15:15,06-02-2020 15:15,31300.95,30700,30500,BANKNIFTY20020630700CE,BANKNIFTY20020630500PE,2020,603.2,0.15
06-02-2020 15:15,13-02-2020 15:15,31300.95,31400,31200,BANKNIFTY20021331400CE,BANKNIFTY20021331200PE,2020,225.95,229.8,13-02-2020 15:15,13-02-2020 15:15,31222.75,31400,31200,BANKNIFTY20021331400CE,BANKNIFTY20021331200PE,2020,0.1,0.35
13-02-2020 15:15,20-02-2020 15:15,31222.75,31300,31100,BANKNIFTY20022031300CE,BANKNIFTY20022031100PE,2020,215,196.4,20-02-2020 15:15,20-02-2020 15:15,30959.6,31300,31100,BANKNIFTY20022031300CE,BANKNIFTY20022031100PE,2020,0.1,153.25
20-02-2020 15:15,27-02-2020 15:15,30959.6,31100,30900,BANKNIFTY20022731100CE,BANKNIFTY20022730900PE,2020,169.9,205.05,27-02-2020 15:15,27-02-2020 15:15,30190.25,31100,30900,BANKNIFTY20022731100CE,BANKNIFTY20022730900PE,2020,0.15,
27-02-2020 15:15,05-03-2020 15:15,30190.25,30300,30100,BANKNIFTY20030530300CE,BANKNIFTY20030530100PE,2020,273.55,272.35,05-03-2020 15:15,05-03-2020 15:15,28818.6,30300,30100,BANKNIFTY20030530300CE,BANKNIFTY20030530100PE,2020,0.1,1274.9
05-03-2020 15:15,12-03-2020 15:15,28818.6,28900,28700,BANKNIFTY20031228900CE,BANKNIFTY20031228700PE,2020,351,363.65,12-03-2020 15:15,12-03-2020 15:15,23915.55,28900,28700,BANKNIFTY20031228900CE,BANKNIFTY20031228700PE,2020,0.1,
12-03-2020 15:15,19-03-2020 15:15,23915.55,24000,23800,BANKNIFTY20031924000CE,BANKNIFTY20031923800PE,2020,709.95,,19-03-2020 15:15,19-03-2020 15:15,20057.35,24000,23800,BANKNIFTY20031924000CE,BANKNIFTY20031923800PE,2020,0.15,
