datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
2021-03-18 09:15:00,34594.0,34616.0,34504.15,34570.9,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:16:00,34595.0,34682.0,34589.85,34667.4,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:17:00,34670.3,34679.55,34659.9,34660.25,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:18:00,34657.45,34670.4,34628.15,34634.35,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:19:00,34634.1,34643.4,34623.9,34632.15,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:20:00,34645.95,34736.9,34645.95,34732.55,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:21:00,34725.5,34726.1,34678.25,34682.1,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:22:00,34682.45,34701.7,34664.45,34685.4,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:23:00,34684.75,34684.95,34657.95,34657.95,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:24:00,34654.65,34660.65,34601.25,34624.2,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:25:00,34625.7,34626.35,34546.8,34546.8,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:26:00,34544.2,34587.15,34544.2,34569.65,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:27:00,34569.4,34591.55,34565.6,34572.9,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:28:00,34573.35,34621.05,34571.4,34620.05,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:29:00,34619.55,34633.0,34588.45,34613.3,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:30:00,34619.45,34661.35,34619.45,34629.8,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:31:00,34630.9,34654.1,34624.4,34626.2,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
