date,final_close,final_CEentryPrice,final_CEhitstatus,final_CE_maxMTM,final_CE_minMTM,final_CE_PnL,final_PEentryPrice,final_PEhitstatus,final_PE_maxMTM,final_PE_minMTM,final_PE_PnL,finalTotal_PnL
2020-01-01,32131.35,32131.35,32131.35,32131.35,32131.35,32131.35,32131.35,32131.35,32131.35,32131.35,32131.35,32131.35
2020-01-02,32438.25,32438.25,32438.25,32438.25,32438.25,32438.25,32438.25,32438.25,32438.25,32438.25,32438.25,32438.25
2020-01-03,32084.7,32084.7,32084.7,32084.7,32084.7,32084.7,32084.7,32084.7,32084.7,32084.7,32084.7,32084.7
2020-01-06,31228.7,31228.7,31228.7,31228.7,31228.7,31228.7,31228.7,31228.7,31228.7,31228.7,31228.7,31228.7
2020-01-07,31404.65,31404.65,31404.65,31404.65,31404.65,31404.65,31404.65,31404.65,31404.65,31404.65,31404.65,31404.65
2020-01-08,31349.15,31349.15,31349.15,31349.15,31349.15,31349.15,31349.15,31349.15,31349.15,31349.15,31349.15,31349.15
2020-01-09,32071.55,32071.55,32071.55,32071.55,32071.55,32071.55,32071.55,32071.55,32071.55,32071.55,32071.55,32071.55
2020-01-10,32084.65,32084.65,32084.65,32084.65,32084.65,32084.65,32084.65,32084.65,32084.65,32084.65,32084.65,32084.65
2020-01-13,32198.55,32198.55,32198.55,32198.55,32198.55,32198.55,32198.55,32198.55,32198.55,32198.55,32198.55,32198.55
2020-01-14,32061.45,32061.45,32061.45,32061.45,32061.45,32061.45,32061.45,32061.45,32061.45,32061.45,32061.45,32061.45
2020-01-15,31833.45,31833.45,31833.45,31833.45,31833.45,31833.45,31833.45,31833.45,31833.45,31833.45,31833.45,31833.45
2020-01-16,31848.25,31848.25,31848.25,31848.25,31848.25,31848.25,31848.25,31848.25,31848.25,31848.25,31848.25,31848.25
2020-01-17,31556.15,31556.15,31556.15,31556.15,31556.15,31556.15,31556.15,31556.15,31556.15,31556.15,31556.15,31556.15
2020-01-20,31096.35,31096.35,31096.35,31096.35,31096.35,31096.35,31096.35,31096.35,31096.35,31096.35,31096.35,31096.35
2020-01-21,30956.55,30956.55,30956.55,30956.55,30956.55,30956.55,30956.55,30956.55,30956.55,30956.55,30956.55,30956.55
2020-01-22,30686.05,30686.05,30686.05,30686.05,30686.05,30686.05,30686.05,30686.05,30686.05,30686.05,30686.05,30686.05
2020-01-23,31014.7,31014.7,31014.7,31014.7,31014.7,31014.7,31014.7,31014.7,31014.7,31014.7,31014.7,31014.7
2020-01-24,31271.7,31271.7,31271.7,31271.7,31271.7,31271.7,31271.7,31271.7,31271.7,31271.7,31271.7,31271.7
2020-01-27,30819.2,30819.2,30819.2,30819.2,30819.2,30819.2,30819.2,30819.2,30819.2,30819.2,30819.2,30819.2
2020-01-28,30767.05,30767.05,30767.05,30767.05,30767.05,30767.05,30767.05,30767.05,30767.05,30767.05,30767.05,30767.05
2020-01-29,30880.85,30880.85,30880.85,30880.85,30880.85,30880.85,30880.85,30880.85,30880.85,30880.85,30880.85,30880.85
2020-01-30,30638.75,30638.75,30638.75,30638.75,30638.75,30638.75,30638.75,30638.75,30638.75,30638.75,30638.75,30638.75
2020-01-31,30813.9,30813.9,30813.9,30813.9,30813.9,30813.9,30813.9,30813.9,30813.9,30813.9,30813.9,30813.9
2020-02-01,29809.6,29809.6,29809.6,29809.6,29809.6,29809.6,29809.6,29809.6,29809.6,29809.6,29809.6,29809.6
2020-02-03,30049.5,30049.5,30049.5,30049.5,30049.5,30049.5,30049.5,30049.5,30049.5,30049.5,30049.5,30049.5
2020-02-04,30678.85,30678.85,30678.85,30678.85,30678.85,30678.85,30678.85,30678.85,30678.85,30678.85,30678.85,30678.85
2020-02-05,31023.1,31023.1,31023.1,31023.1,31023.1,31023.1,31023.1,31023.1,31023.1,31023.1,31023.1,31023.1
2020-02-06,31286.7,31286.7,31286.7,31286.7,31286.7,31286.7,31286.7,31286.7,31286.7,31286.7,31286.7,31286.7
2020-02-07,31158.25,31158.25,31158.25,31158.25,31158.25,31158.25,31158.25,31158.25,31158.25,31158.25,31158.25,31158.25
2020-02-10,31075.7,31075.7,31075.7,31075.7,31075.7,31075.7,31075.7,31075.7,31075.7,31075.7,31075.7,31075.7
2020-02-11,31292.65,31292.65,31292.65,31292.65,31292.65,31292.65,31292.65,31292.65,31292.65,31292.65,31292.65,31292.65
2020-02-12,31484.1,31484.1,31484.1,31484.1,31484.1,31484.1,31484.1,31484.1,31484.1,31484.1,31484.1,31484.1
2020-02-13,31200.05,31200.05,31200.05,31200.05,31200.05,31200.05,31200.05,31200.05,31200.05,31200.05,31200.05,31200.05
2020-02-14,30858.7,30858.7,30858.7,30858.7,30858.7,30858.7,30858.7,30858.7,30858.7,30858.7,30858.7,30858.7
2020-02-17,30710.75,30710.75,30710.75,30710.75,30710.75,30710.75,30710.75,30710.75,30710.75,30710.75,30710.75,30710.75
2020-02-18,30606.5,30606.5,30606.5,30606.5,30606.5,30606.5,30606.5,30606.5,30606.5,30606.5,30606.5,30606.5
2020-02-19,30842.05,30842.05,30842.05,30842.05,30842.05,30842.05,30842.05,30842.05,30842.05,30842.05,30842.05,30842.05
2020-02-20,30944.05,30944.05,30944.05,30944.05,30944.05,30944.05,30944.05,30944.05,30944.05,30944.05,30944.05,30944.05
2020-02-24,30471.45,30471.45,30471.45,30471.45,30471.45,30471.45,30471.45,30471.45,30471.45,30471.45,30471.45,30471.45
2020-02-25,30468.3,30468.3,30468.3,30468.3,30468.3,30468.3,30468.3,30468.3,30468.3,30468.3,30468.3,30468.3
2020-02-26,30329.45,30329.45,30329.45,30329.45,30329.45,30329.45,30329.45,30329.45,30329.45,30329.45,30329.45,30329.45
2020-02-27,30165.0,30165.0,30165.0,30165.0,30165.0,30165.0,30165.0,30165.0,30165.0,30165.0,30165.0,30165.0
2020-02-28,29204.75,29204.75,29204.75,29204.75,29204.75,29204.75,29204.75,29204.75,29204.75,29204.75,29204.75,29204.75
2020-03-02,28921.95,28921.95,28921.95,28921.95,28921.95,28921.95,28921.95,28921.95,28921.95,28921.95,28921.95,28921.95
2020-03-03,29244.4,29244.4,29244.4,29244.4,29244.4,29244.4,29244.4,29244.4,29244.4,29244.4,29244.4,29244.4
2020-03-04,28671.55,28671.55,28671.55,28671.55,28671.55,28671.55,28671.55,28671.55,28671.55,28671.55,28671.55,28671.55
2020-03-05,28778.0,28778.0,28778.0,28778.0,28778.0,28778.0,28778.0,28778.0,28778.0,28778.0,28778.0,28778.0
2020-03-09,26470.2,26470.2,26470.2,26470.2,26470.2,26470.2,26470.2,26470.2,26470.2,26470.2,26470.2,26470.2
2020-03-11,26440.7,26440.7,26440.7,26440.7,26440.7,26440.7,26440.7,26440.7,26440.7,26440.7,26440.7,26440.7
2020-03-16,23078.95,23078.95,23078.95,23078.95,23078.95,23078.95,23078.95,23078.95,23078.95,23078.95,23078.95,23078.95
2020-03-17,22114.05,22114.05,22114.05,22114.05,22114.05,22114.05,22114.05,22114.05,22114.05,22114.05,22114.05,22114.05
2020-03-18,20853.8,20853.8,20853.8,20853.8,20853.8,20853.8,20853.8,20853.8,20853.8,20853.8,20853.8,20853.8
2020-03-19,20044.6,20044.6,20044.6,20044.6,20044.6,20044.6,20044.6,20044.6,20044.6,20044.6,20044.6,20044.6
2020-03-20,20274.55,20274.55,20274.55,20274.55,20274.55,20274.55,20274.55,20274.55,20274.55,20274.55,20274.55,20274.55
