datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt,index_x,CEopen,CEhigh,CElow,CEclose,CEentryPrice,CEstoploss,CEtarget,CE_SLhit,CE_Tgthit,CEhitstatus,CEexitPrice,CE_MTM,CE_highMTM,CE_maxMTM,CE_lowMTM,CE_minMTM,CE_PnL,index_y,PEopen,PEhigh,PElow,PEclose,PEentryPrice,PEstoploss,PEtarget,PE_SLhit,PE_Tgthit,PEhitstatus,PEexitPrice,PE_MTM,PE_highMTM,PE_maxMTM,PE_lowMTM,PE_minMTM,PE_PnL,CBopen,CBhigh,CBlow,CBclose
01-01-2020 09:15,32227.8,32295.8,32220.9,32292,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:15,82.95,100,75.75,100,,,,0,0,,,,,,,,,01-01-2020 09:15,95,100.4,69.1,71.15,,,,0,0,,,,,,,,,177.95,176.15,169.1,171.15
01-01-2020 09:16,32296.35,32303.3,32283.95,32288.25,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:16,99.1,102,89,89,,,,0,0,,,,,,,,,01-01-2020 09:16,71.2,72.15,65.35,70.35,,,,0,0,,,,,,,,,170.3,167.35,161.15,159.35
01-01-2020 09:17,32285.05,32290.85,32279.35,32282.95,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:17,88.7,94,88.7,90.8,,,,0,0,,,,,,,,,01-01-2020 09:17,70.45,71.8,69,71.8,,,,0,0,,,,,,,,,159.15,163,160.5,162.6
01-01-2020 09:18,32280.2,32296.25,32270.7,32292.45,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:18,91.3,96.85,84.3,96.55,,,,0,0,,,,,,,,,01-01-2020 09:18,71.55,76.15,66.45,66.65,,,,0,0,,,,,,,,,162.85,163.3,160.45,163.2
01-01-2020 09:19,32295.3,32312.05,32294.85,32298.65,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:19,96,100,94.6,96.5,,,,0,0,,,,,,,,,01-01-2020 09:19,66.8,67.95,63,67.2,,,,0,0,,,,,,,,,162.8,163,162.55,163.7
01-01-2020 09:20,32300.8,32303.45,32288.15,32293.5,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:20,96.85,98.1,92.8,94.55,,,,0,0,,,,,,,,,01-01-2020 09:20,67.05,69.35,66.35,66.35,,,,0,0,,,,,,,,,163.9,164.45,162.15,160.9
01-01-2020 09:21,32295,32299.45,32287.45,32289.45,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:21,94.95,95.3,88.95,90.75,94.55,113.46,18.91,0,0,,,3.8,5.6,5.6,-0.75,-0.75,,01-01-2020 09:21,66.65,70.9,65.55,69.7,66.35,79.62,13.27,0,0,,,-3.35,0.8,0.8,-4.55,-4.55,,161.6,160.85,159.85,160.45
01-01-2020 09:22,32293.45,32297.55,32286.2,32295.45,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:22,91.05,95.85,90.9,95.65,94.55,113.46,18.91,0,0,,,-1.1,3.65,5.6,-1.3,-1.3,,01-01-2020 09:22,69.4,69.6,64.6,64.75,66.35,79.62,13.27,0,0,,,1.6,1.75,1.75,-3.25,-4.55,,160.45,160.5,160.45,160.4
01-01-2020 09:23,32297.35,32314.3,32296.5,32314.3,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:23,96,97.35,94.4,97.35,94.55,113.46,18.91,0,0,,,-2.8,0.15,5.6,-2.8,-2.8,,01-01-2020 09:23,64.8,64.8,61.85,62,66.35,79.62,13.27,0,0,,,4.35,4.5,4.5,1.55,-4.55,,160.8,159.2,159.2,159.35
01-01-2020 09:24,32316.35,32318.4,32302.5,32308.35,32300,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 09:24,96.95,97.9,92.05,93.35,94.55,113.46,18.91,0,0,,,1.2,2.5,5.6,-3.35,-3.35,,01-01-2020 09:24,62.5,63.75,60,63.45,66.35,79.62,13.27,0,0,,,2.9,6.35,6.35,2.6,-4.55,,159.45,157.9,155.8,156.8
