datetime,open,high,low,close,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
01-01-2020 09:15,32227.8,32295.8,32220.9,32292,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:16,32296.35,32303.3,32283.95,32288.25,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:17,32285.05,32290.85,32279.35,32282.95,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:18,32280.2,32296.25,32270.7,32292.45,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:19,32295.3,32312.05,32294.85,32298.65,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:20,32300.8,32303.45,32288.15,32293.5,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:21,32295,32299.45,32287.45,32289.45,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:22,32293.45,32297.55,32286.2,32295.45,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:23,32297.35,32314.3,32296.5,32314.3,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:24,32316.35,32318.4,32302.5,32308.35,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:25,32311.05,32313.65,32302.9,32311.7,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:26,32313.4,32324.2,32313.3,32323,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:27,32325.15,32325.3,32313.65,32317.35,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:28,32318.45,32327.2,32315.35,32320.05,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:29,32319.45,32339.25,32319.35,32336.65,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:30,32337.05,32346.6,32335.95,32341.75,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:31,32341.6,32348,32337.45,32337.45,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:32,32338.4,32342.8,32334,32340.1,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:33,32337.65,32339,32327.1,32330.95,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:34,32327.8,32332.4,32317.95,32324.4,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:35,32326.35,32329.3,32312.05,32313.4,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:36,32313.25,32313.25,32288.7,32304.4,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:37,32306.85,32306.85,32287.85,32291.55,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:38,32292.65,32294.6,32284.35,32290.6,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:39,32293.05,32294,32286.55,32290.85,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:40,32289.7,32291.85,32279.85,32280.8,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
01-01-2020 09:41,32281.7,32281.7,32237.95,32259.9,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020
