datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt,index_x,CEdate,CEtime,CEopen,CEhigh,CElow,CEclose,CEentryPrice,CEstoploss,CEtarget,CE_SLhit,CE_Tgthit,CEhitstatus,CEexitPrice,CE_MTM,CE_highMTM,CE_maxMTM,CE_lowMTM,CE_minMTM,CE_PnL,index_y,PEopen,PEhigh,PElow,PEclose,PEentryPrice,PEstoploss,PEtarget,PE_SLhit,PE_Tgthit,PEhitstatus,PEexitPrice,PE_MTM,PE_highMTM,PE_maxMTM,PE_lowMTM,PE_minMTM,PE_PnL,CBopen,CBhigh,CBlow,CBclose
2020-01-01 09:15:00,32227.8,32295.8,32220.9,32292.0,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:15:00,2020-01-01,09:15,82.95,100.0,75.75,100.0,,,,0,0,,,,,,,,,2020-01-01 09:15:00,95.0,100.4,69.1,71.15,,,,0,0,,,,,,,,,177.95,176.15,169.1,171.15
2020-01-01 09:16:00,32296.35,32303.3,32283.95,32288.25,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:16:00,2020-01-01,09:16,99.1,102.0,89.0,89.0,,,,0,0,,,,,,,,,2020-01-01 09:16:00,71.2,72.15,65.35,70.35,,,,0,0,,,,,,,,,170.3,167.35,161.15,159.35
2020-01-01 09:17:00,32285.05,32290.85,32279.35,32282.95,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:17:00,2020-01-01,09:17,88.7,94.0,88.7,90.8,,,,0,0,,,,,,,,,2020-01-01 09:17:00,70.45,71.8,69.0,71.8,,,,0,0,,,,,,,,,159.15,163.0,160.5,162.6
2020-01-01 09:18:00,32280.2,32296.25,32270.7,32292.45,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:18:00,2020-01-01,09:18,91.3,96.85,84.3,96.55,,,,0,0,,,,,,,,,2020-01-01 09:18:00,71.55,76.15,66.45,66.65,,,,0,0,,,,,,,,,162.85,163.3,160.45,163.2
2020-01-01 09:19:00,32295.3,32312.05,32294.85,32298.65,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:19:00,2020-01-01,09:19,96.0,100.0,94.6,96.5,,,,0,0,,,,,,,,,2020-01-01 09:19:00,66.8,67.95,63.0,67.2,,,,0,0,,,,,,,,,162.8,163.0,162.55,163.7
2020-01-01 09:20:00,32300.8,32303.45,32288.15,32293.5,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:20:00,2020-01-01,09:20,96.85,98.1,92.8,94.55,,,,0,0,,,,,,,,,2020-01-01 09:20:00,67.05,69.35,66.35,66.35,,,,0,0,,,,,,,,,163.89999999999998,164.45,162.14999999999998,160.89999999999998
2020-01-01 09:21:00,32295.0,32299.45,32287.45,32289.45,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:21:00,2020-01-01,09:21,94.95,95.3,88.95,90.75,94.55,113.46,18.909999999999997,0,0,,,3.799999999999997,5.599999999999994,5.599999999999994,-0.75,-0.75,,2020-01-01 09:21:00,66.65,70.9,65.55,69.7,66.35,79.61999999999999,13.269999999999996,0,0,,,-3.3500000000000085,0.7999999999999972,0.7999999999999972,-4.550000000000011,-4.550000000000011,,161.60000000000002,160.85,159.85000000000002,160.45
2020-01-01 09:22:00,32293.45,32297.55,32286.2,32295.45,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:22:00,2020-01-01,09:22,91.05,95.85,90.9,95.65,94.55,113.46,18.909999999999997,0,0,,,-1.1000000000000085,3.6499999999999915,5.599999999999994,-1.2999999999999972,-1.2999999999999972,,2020-01-01 09:22:00,69.4,69.6,64.6,64.75,66.35,79.61999999999999,13.269999999999996,0,0,,,1.5999999999999943,1.75,1.75,-3.25,-4.550000000000011,,160.45,160.5,160.45,160.4
2020-01-01 09:23:00,32297.35,32314.3,32296.5,32314.3,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:23:00,2020-01-01,09:23,96.0,97.35,94.4,97.35,94.55,113.46,18.909999999999997,0,0,,,-2.799999999999997,0.14999999999999147,5.599999999999994,-2.799999999999997,-2.799999999999997,,2020-01-01 09:23:00,64.8,64.8,61.85,62.0,66.35,79.61999999999999,13.269999999999996,0,0,,,4.349999999999994,4.499999999999993,4.499999999999993,1.5499999999999972,-4.550000000000011,,160.8,159.2,159.2,159.35
2020-01-01 09:24:00,32316.35,32318.4,32302.5,32308.35,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:24:00,2020-01-01,09:24,96.95,97.9,92.05,93.35,94.55,113.46,18.909999999999997,0,0,,,1.2000000000000028,2.5,5.599999999999994,-3.3500000000000085,-3.3500000000000085,,2020-01-01 09:24:00,62.5,63.75,60.0,63.45,66.35,79.61999999999999,13.269999999999996,0,0,,,2.8999999999999915,6.349999999999994,6.349999999999994,2.5999999999999943,-4.550000000000011,,159.45,157.9,155.8,156.8
2020-01-01 09:25:00,32311.05,32313.65,32302.9,32311.7,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:25:00,2020-01-01,09:25,93.35,96.8,93.0,96.3,94.55,113.46,18.909999999999997,0,0,,,-1.75,1.5499999999999972,5.599999999999994,-2.25,-3.3500000000000085,,2020-01-01 09:25:00,63.75,64.1,62.15,62.15,66.35,79.61999999999999,13.269999999999996,0,0,,,4.199999999999996,4.199999999999996,6.349999999999994,2.25,-4.550000000000011,,157.1,158.95,157.1,158.45
2020-01-01 09:26:00,32313.4,32324.2,32313.3,32323.0,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:26:00,2020-01-01,09:26,96.5,99.85,95.85,97.35,94.55,113.46,18.909999999999997,0,0,,,-2.799999999999997,-1.2999999999999972,5.599999999999994,-5.299999999999997,-5.299999999999997,,2020-01-01 09:26:00,61.8,62.35,57.5,59.4,66.35,79.61999999999999,13.269999999999996,0,0,,,6.949999999999996,8.849999999999994,8.849999999999994,3.999999999999993,-4.550000000000011,,158.3,158.2,157.35,156.75
2020-01-01 09:27:00,32325.15,32325.3,32313.65,32317.35,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:27:00,2020-01-01,09:27,98.0,98.0,94.65,95.4,94.55,113.46,18.909999999999997,0,0,,,-0.8500000000000085,-0.10000000000000853,5.599999999999994,-3.450000000000003,-5.299999999999997,,2020-01-01 09:27:00,59.45,61.0,59.35,60.45,66.35,79.61999999999999,13.269999999999996,0,0,,,5.8999999999999915,6.999999999999993,8.849999999999994,5.349999999999994,-4.550000000000011,,157.45,157.35,155.65,155.85000000000002
2020-01-01 09:28:00,32318.45,32327.2,32315.35,32320.05,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:28:00,2020-01-01,09:28,95.0,97.95,94.35,96.65,94.55,113.46,18.909999999999997,0,0,,,-2.1000000000000085,0.20000000000000284,5.599999999999994,-3.4000000000000057,-5.299999999999997,,2020-01-01 09:28:00,61.05,61.05,57.05,59.3,66.35,79.61999999999999,13.269999999999996,0,0,,,7.049999999999997,9.299999999999997,9.299999999999997,5.299999999999997,-4.550000000000011,,156.05,155.39999999999998,155.0,155.95
2020-01-01 09:29:00,32319.45,32339.25,32319.35,32336.65,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:29:00,2020-01-01,09:29,96.7,99.55,96.1,99.55,94.55,113.46,18.909999999999997,0,0,,,-5.0,-1.5499999999999972,5.599999999999994,-5.0,-5.299999999999997,,2020-01-01 09:29:00,59.0,59.35,54.5,54.5,66.35,79.61999999999999,13.269999999999996,0,0,,,11.849999999999994,11.849999999999994,11.849999999999994,6.999999999999993,-4.550000000000011,,155.7,155.45,154.05,154.05
2020-01-01 09:30:00,32337.05,32346.6,32335.95,32341.75,32300.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 09:30:00,2020-01-01,09:30,99.25,100.75,97.2,99.95,94.55,113.46,18.909999999999997,0,0,,,-5.400000000000006,-2.6500000000000057,5.599999999999994,-6.200000000000003,-6.200000000000003,,2020-01-01 09:30:00,54.85,57.75,54.05,54.7,66.35,79.61999999999999,13.269999999999996,0,0,,,11.649999999999991,12.299999999999997,12.299999999999997,8.599999999999994,-4.550000000000011,,154.1,154.95,154.8,154.65
