TargetRationChanging,,,,,,,,,,
date,AXISBANK,HDFC,HDFCBANK,ICICIBANK,INFY,ITC,KOTAKBANK,LT,RELIANCE,TCS
29-02-2012,-9.207994402,-5.219645306,2.18028023,-11.33888734,3.048564247,-1.45949883,-0.393049192,8.240310207,-8.631213678,-3.262299084
31-03-2012,0,0,-2.091268756,2.812353672,0,0.31302746,-3.516457374,-0.292998387,0,-4.065670287
30-04-2012,-1.225343145,0.823958864,-1.635087121,0,-1.916631075,0,-2.443817939,2.01442392,0.064256334,0
31-05-2012,0.291642534,1.380452842,-2.257514348,-0.023847096,-3.895602382,7.180847613,2.317060438,-5.395290693,0.632468447,-2.502710923
30-06-2012,-2.213659061,1.795420813,0,5.215375589,-0.471339523,2.70880985,-3.115565475,5.670650626,1.850995679,1.590905197
31-07-2012,-1.121094055,0.959854718,-7.290400806,0,0,-2.154721701,-1.073199409,-5.524837179,-1.918858228,0
31-08-2012,-2.29524116,-0.322048715,-0.745017136,-0.607491579,0,-0.515075811,-0.866311446,-2.207636323,0,0.515838797
30-09-2012,0,0,1.577970507,0,-3.120276592,-0.469040276,4.630337073,0,0,0
31-10-2012,-2.654034425,-0.703772215,-1.735396408,-0.634369878,0,5.288098717,-2.020518989,-3.59705426,1.382809361,-2.264098189
30-11-2012,0,-2.283849918,0,-1.134566132,-2.488443818,3.565126945,-7.38368518,0,0,0.51218188
31-12-2012,0.706193436,0,-0.360233974,-1.546768894,-2.25440326,-0.745127646,-0.853614707,2.259941047,-0.519138075,0
31-01-2013,1.139874218,0.359410561,0,0.408093487,0.925765835,0,-1.428141886,0,0,1.425658117
28-02-2013,-6.973851977,-0.129989204,5.149402827,0.778810798,0,1.358095225,0,0,0.956412479,0
31-03-2013,0,2.48030192,0.454070816,-1.676333401,0,3.223631679,-0.94772153,2.903696258,2.735530299,0
30-04-2013,0,-5.437514554,0.703600152,0,0,-1.890534578,-0.640111856,-5.219311242,0,0
31-05-2013,0.913964948,0,0.562376124,-2.769477403,-0.191660641,-1.335311542,0,-2.635234932,1.491909416,-2.862840069
30-06-2013,0,-3.735629427,0.165671446,-3.187255166,0,2.649418967,-4.907469197,6.286505804,-1.221661067,1.263794945
31-07-2013,0,0.000575619,1.567967541,0,2.522798611,-2.695380608,0,2.687331327,0,-0.549473875
31-08-2013,5.810566554,-10.3497165,-3.20196623,0,0,-2.467827809,-0.018435529,-3.698221374,-8.704293252,0
30-09-2013,0,-7.829157528,-5.784480017,-2.972549553,0,-0.784670643,-7.945729981,0,-2.893571802,0.967937463
31-10-2013,-10.97112127,2.832845851,7.132451783,7.800530272,-4.696888917,-0.231544952,-3.76666458,2.021973762,2.17872118,1.745360321
30-11-2013,0,-1.82999146,-3.660844726,2.942878934,2.865195077,0,0,-0.775273911,-2.483354423,-2.059833027
31-12-2013,8.536138859,0,2.581791021,-4.369203473,-2.190322529,0,0,0,-0.938728344,-1.250119202
31-01-2014,-1.755149447,0,-1.924536015,0.918326294,0,-2.217999947,1.114288183,-3.195513356,-1.503008438,0
28-02-2014,0,0,0.355073376,0,-2.657935115,0,-1.175664106,0.294149958,0,-0.323062031
31-03-2014,-2.904271458,0,3.232834297,-3.705505832,0,3.978678256,1.720991788,0,-1.3032241,-1.601766823
30-04-2014,0,0,0.066922525,-3.100025602,-3.402284333,-2.159397227,0.403361597,1.814676169,0,0
31-05-2014,0,0,-1.663545448,0,0,-0.520375417,0,4.765303952,-0.197469141,0.598629406
