SNo,Portfolio Name,Leg ID,Exchange,Exchange Symbol,Product,Order Type,Order ID,Time,Txn,Qty,Filled Qty,Exchg Time,Avg Price,Status,Limit Price,Order Failed,User ID,User Alias,Remarks,Tag
1,NIFTY CALL CALENDAR, 1833,NFO,NIFTY 29JUN23 18800 CE,NRML,MARKET,230619000147539,19-Jun-2023 12.19.20,BUY,1000,1000,01-Jan-0001 00.00.00,155.31,COMPLETE,0,False,50062865,RKEDEL,,10015872
2,NIFTY CALL CALENDAR, 1834,NFO,NIFTY 22JUN23 18800 CE,NRML,MARKET,230619000147548,19-Jun-2023 12.19.21,SELL,1000,1000,01-Jan-0001 00.00.00,84.60,COMPLETE,0,False,50062865,RKEDEL,,10015875
3,NIFTY CALL CALENDAR, 1834,NFO,NIFTY 22JUN23 18800 CE,NRML,MARKET,1200161762,19-Jun-2023 12.19.21,SELL,500,500,01-Jan-0001 00.00.00,84.6,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10015873
4,NIFTY CALL CALENDAR, 1834,NFO,NIFTY 22JUN23 18800 CE,NRML,MARKET,1200161761,19-Jun-2023 12.19.21,SELL,1000,1000,01-Jan-0001 00.00.00,84.65,COMPLETE,0,False,SANG0104,SS3POSIIFL,,10015874
5,NIFTY CALL CALENDAR, 1833,NFO,NIFTY 29JUN23 18800 CE,NRML,MARKET,1200161760,19-Jun-2023 12.19.20,BUY,1000,1000,01-Jan-0001 00.00.00,155.3725,COMPLETE,0,False,SANG0104,SS3POSIIFL,,10015871
6,NIFTY CALL CALENDAR, 1833,NFO,NIFTY 29JUN23 18800 CE,NRML,MARKET,1200161757,19-Jun-2023 12.19.20,BUY,500,500,01-Jan-0001 00.00.00,155.29,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10015870
7,NIFTY CALL CALENDAR, 1875,NFO,NIFTY 22JUN23 18850 CE,NRML,MARKET,230620000102648,20-Jun-2023 10.39.39,SELL,1000,1000,01-Jan-0001 00.00.00,12.85,COMPLETE,0,False,50062865,RKEDEL,,10016254
8,NIFTY CALL CALENDAR, 1875,NFO,NIFTY 22JUN23 18850 CE,NRML,MARKET,1200134032,20-Jun-2023 10.39.39,SELL,500,500,01-Jan-0001 00.00.00,12.85,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10016253
9,NIFTY CALL CALENDAR, 1875,NFO,NIFTY 22JUN23 18850 CE,NRML,MARKET,1200134033,20-Jun-2023 10.39.39,SELL,1000,1000,01-Jan-0001 00.00.00,12.85,COMPLETE,0,False,SANG0104,SS3POSIIFL,,10016255
10,NIFTY CALL CALENDAR, 1875,NFO,NIFTY 22JUN23 18850 CE,NRML,MARKET,1200219189,20-Jun-2023 13.31.30,BUY,250,250,01-Jan-0001 00.00.00,30.85,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10016462
