entryDt,Entry_relventExpiryDt,Entry_BANKNIFTY_price,Entry_CE_strike,Entry_PE_strike,Entry_symbolCE,Entry_symbolPE,Entry_year,Entry_CEprice,Entry_PEprice,exitDt,Exit_relventExpiryDt,Exit_BANKNIFTY_price,Exit_CE_strike,Exit_PE_strike,Exit_symbolCE,Exit_symbolPE,Exit_year,Exit_CEprice,Exit_PEprice
2020-01-02 15:15:00,2020-01-09 15:15:00,32459.95,32600,32400,BANKNIFTY20010932600CE,BANKNIFTY20010932400PE,2020,166.15,165.05,2020-01-09 15:15:00,2020-01-09 15:15:00,32099.7,32600,32400,BANKNIFTY20010932600CE,BANKNIFTY20010932400PE,2020,0.05,299.65
2020-01-09 15:15:00,2020-01-16 15:15:00,32099.7,32200,32000,BANKNIFTY20011632200CE,BANKNIFTY20011632000PE,2020,235.05,261.6,2020-01-16 15:15:00,2020-01-16 15:15:00,31852.4,32200,32000,BANKNIFTY20011632200CE,BANKNIFTY20011632000PE,2020,0.05,146.8
2020-01-16 15:15:00,2020-01-23 15:15:00,31852.4,32000,31800,BANKNIFTY20012332000CE,BANKNIFTY20012331800PE,2020,218.05,214.0,2020-01-23 15:15:00,2020-01-23 15:15:00,30997.85,32000,31800,BANKNIFTY20012332000CE,BANKNIFTY20012331800PE,2020,0.1,791.95
2020-01-23 15:15:00,2020-01-30 15:15:00,30997.85,31100,30900,BANKNIFTY20013031100CE,BANKNIFTY20013030900PE,2020,260.5,195.9,2020-01-30 15:15:00,2020-01-30 15:15:00,30644.1,31100,30900,BANKNIFTY20013031100CE,BANKNIFTY20013030900PE,2020,0.2,242.55
2020-01-30 15:15:00,2020-02-06 15:15:00,30644.1,30700,30500,BANKNIFTY20020630700CE,BANKNIFTY20020630500PE,2020,473.55,381.25,2020-02-06 15:15:00,2020-02-06 15:15:00,31300.95,30700,30500,BANKNIFTY20020630700CE,BANKNIFTY20020630500PE,2020,603.2,0.15
2020-02-06 15:15:00,2020-02-13 15:15:00,31300.95,31400,31200,BANKNIFTY20021331400CE,BANKNIFTY20021331200PE,2020,225.95,229.8,2020-02-13 15:15:00,2020-02-13 15:15:00,31222.75,31400,31200,BANKNIFTY20021331400CE,BANKNIFTY20021331200PE,2020,0.1,0.35
2020-02-13 15:15:00,2020-02-20 15:15:00,31222.75,31300,31100,BANKNIFTY20022031300CE,BANKNIFTY20022031100PE,2020,215.0,196.4,2020-02-20 15:15:00,2020-02-20 15:15:00,30959.6,31300,31100,BANKNIFTY20022031300CE,BANKNIFTY20022031100PE,2020,0.1,153.25
2020-02-20 15:15:00,2020-02-27 15:15:00,30959.6,31100,30900,BANKNIFTY20022731100CE,BANKNIFTY20022730900PE,2020,169.9,205.05,2020-02-27 15:15:00,2020-02-27 15:15:00,30190.25,31100,30900,BANKNIFTY20022731100CE,BANKNIFTY20022730900PE,2020,0.15,
2020-02-27 15:15:00,2020-03-05 15:15:00,30190.25,30300,30100,BANKNIFTY20030530300CE,BANKNIFTY20030530100PE,2020,273.55,272.35,2020-03-05 15:15:00,2020-03-05 15:15:00,28818.6,30300,30100,BANKNIFTY20030530300CE,BANKNIFTY20030530100PE,2020,0.1,1274.9
2020-03-05 15:15:00,2020-03-12 15:15:00,28818.6,28900,28700,BANKNIFTY20031228900CE,BANKNIFTY20031228700PE,2020,351.0,363.65,2020-03-12 15:15:00,2020-03-12 15:15:00,23915.55,28900,28700,BANKNIFTY20031228900CE,BANKNIFTY20031228700PE,2020,0.1,
2020-03-12 15:15:00,2020-03-19 15:15:00,23915.55,24000,23800,BANKNIFTY20031924000CE,BANKNIFTY20031923800PE,2020,709.95,,2020-03-19 15:15:00,2020-03-19 15:15:00,20057.35,24000,23800,BANKNIFTY20031924000CE,BANKNIFTY20031923800PE,2020,0.15,
2020-03-19 15:15:00,2020-03-26 15:15:00,20057.35,20200,20000,BANKNIFTY20032620200CE,BANKNIFTY20032620000PE,2020,1043.9,1223.15,2020-03-26 15:15:00,2020-03-26 15:15:00,19600.55,20200,20000,BANKNIFTY20032620200CE,BANKNIFTY20032620000PE,2020,0.5,404.25
2020-03-26 15:15:00,2020-04-01 15:15:00,19600.55,19700,19500,BANKNIFTY20040119700CE,BANKNIFTY20040119500PE,2020,,1360.15,2020-04-01 15:15:00,2020-04-01 15:15:00,18212.85,19700,19500,BANKNIFTY20040119700CE,BANKNIFTY20040119500PE,2020,0.4,1283.5
2020-04-01 15:15:00,2020-04-09 15:15:00,18212.85,18300,18100,BANKNIFTY20040918300CE,BANKNIFTY20040918100PE,2020,,720.0,2020-04-09 15:15:00,2020-04-09 15:15:00,19938.7,18300,18100,BANKNIFTY20040918300CE,BANKNIFTY20040918100PE,2020,,
2020-04-09 15:15:00,2020-04-16 15:15:00,19938.7,20000,19800,BANKNIFTY20041620000CE,BANKNIFTY20041619800PE,2020,598.8,799.45,2020-04-16 15:15:00,2020-04-16 15:15:00,19406.25,20000,19800,BANKNIFTY20041620000CE,BANKNIFTY20041619800PE,2020,0.1,425.0
2020-04-16 15:15:00,2020-04-23 15:15:00,19406.25,19500,19300,BANKNIFTY20042319500CE,BANKNIFTY20042319300PE,2020,579.45,567.35,2020-04-23 15:15:00,2020-04-23 15:15:00,20260.05,19500,19300,BANKNIFTY20042319500CE,BANKNIFTY20042319300PE,2020,773.5,0.15
