,Date,portfolio_values
0,2018-03-28,100000000
1,2018-04-02,101406514
2,2018-04-03,101614410
3,2018-04-04,100811643
4,2018-04-05,102808676
5,2018-04-06,102832912
6,2018-04-09,103229128
7,2018-04-10,103181393
8,2018-04-11,103636939
9,2018-04-12,104276633
10,2018-04-13,104451361
11,2018-04-16,104924010
12,2018-04-17,105134988
13,2018-04-18,105019004
14,2018-04-19,105214811
15,2018-04-20,105941072
16,2018-04-23,106120266
17,2018-04-24,106253618
18,2018-04-25,106133825
19,2018-04-26,107055241
20,2018-04-27,107181699
21,2018-04-30,108231289
22,2018-05-02,108576937
23,2018-05-03,107908420
24,2018-05-04,107472029
25,2018-05-07,108348713
26,2018-05-08,108233274
27,2018-05-09,108511846
28,2018-05-10,108254972
29,2018-05-11,109325241
30,2018-05-14,109563923
31,2018-05-15,109663547
32,2018-05-16,109587794
33,2018-05-17,108784727
34,2018-05-18,108752020
35,2018-05-21,108356551
36,2018-05-22,108416821
37,2018-05-23,107838621
38,2018-05-24,109109013
39,2018-05-25,109863195
40,2018-05-28,110244461
41,2018-05-29,109594384
42,2018-05-30,109646519
43,2018-05-31,111179669
44,2018-06-01,110830306
45,2018-06-04,110207434
46,2018-06-05,110175294
47,2018-06-06,111032943
48,2018-06-07,111783349
49,2018-06-08,111906434
50,2018-06-11,112170120
51,2018-06-12,113296963
52,2018-06-13,113534532
53,2018-06-14,112894973
54,2018-06-15,113492464
55,2018-06-18,112874083
56,2018-06-19,112032182
57,2018-06-20,112819837
58,2018-06-21,112568424
59,2018-06-22,113234325
60,2018-06-25,113158097
61,2018-06-26,113532611
62,2018-06-27,112969679
63,2018-06-28,112419566
64,2018-06-29,113680447
65,2018-07-02,113386547
66,2018-07-03,114088311
67,2018-07-04,115177353
68,2018-07-05,115109131
69,2018-07-06,115356057
70,2018-07-09,116031580
71,2018-07-10,116850607
72,2018-07-11,117822435
73,2018-07-12,118681297
74,2018-07-13,119052691
75,2018-07-16,118871005
76,2018-07-17,118858605
77,2018-07-18,118480315
78,2018-07-19,118242607
79,2018-07-20,118856607
80,2018-07-23,119913920
81,2018-07-24,119841655
82,2018-07-25,120069887
83,2018-07-26,120409625
84,2018-07-27,121057541
85,2018-07-30,121450625
86,2018-07-31,122009996
