Date,portfolio_values
28-03-2018,100000000
02-04-2018,101220651
03-04-2018,100689005
04-04-2018,99582949
05-04-2018,100652090
06-04-2018,100160238
09-04-2018,99844783
10-04-2018,100941868
11-04-2018,101994539
12-04-2018,103251788
13-04-2018,104142726
16-04-2018,104547573
17-04-2018,105077595
18-04-2018,104739683
19-04-2018,106230927
20-04-2018,109161272
23-04-2018,108980373
24-04-2018,107286873
25-04-2018,107554103
26-04-2018,108108028
27-04-2018,106485852
30-04-2018,107746440
02-05-2018,105831055
03-05-2018,104061948
04-05-2018,104440069
07-05-2018,103950940
08-05-2018,103952206
09-05-2018,103793028
10-05-2018,103232283
11-05-2018,104512215
14-05-2018,104239452
15-05-2018,104680942
16-05-2018,104865655
17-05-2018,105314520
18-05-2018,104741100
21-05-2018,104161296
22-05-2018,104405966
23-05-2018,104228111
24-05-2018,105509620
25-05-2018,105578030
28-05-2018,104193621
29-05-2018,104364226
30-05-2018,104722495
31-05-2018,105352633
01-06-2018,104733651
04-06-2018,104383088
05-06-2018,102863989
06-06-2018,103816397
07-06-2018,105047370
08-06-2018,105763191
11-06-2018,105313888
12-06-2018,105063389
13-06-2018,105896425
14-06-2018,105168696
15-06-2018,106441715
18-06-2018,106040996
19-06-2018,105368340
20-06-2018,105015411
21-06-2018,104270229
22-06-2018,104334248
25-06-2018,104206651
26-06-2018,104588893
27-06-2018,104877413
28-06-2018,102832632
29-06-2018,103881117
02-07-2018,103752393
03-07-2018,104232492
04-07-2018,104273727
05-07-2018,104334424
06-07-2018,104160991
09-07-2018,104304505
10-07-2018,105408766
11-07-2018,106148381
12-07-2018,106204410
13-07-2018,105857096
16-07-2018,105571141
17-07-2018,106729807
18-07-2018,106291233
19-07-2018,105532754
20-07-2018,105900426
23-07-2018,105904109
24-07-2018,105317598
25-07-2018,104381772
26-07-2018,104759683
27-07-2018,104754928
30-07-2018,104651334
31-07-2018,106241448
01-08-2018,107846287
02-08-2018,107581318
03-08-2018,107521510
06-08-2018,108011738
07-08-2018,107425566
08-08-2018,107833719
09-08-2018,108052493
10-08-2018,107517379
13-08-2018,109910259
14-08-2018,111452423
16-08-2018,111231434
17-08-2018,112252063
20-08-2018,112506430
21-08-2018,113550244
23-08-2018,115034454
24-08-2018,115463873
27-08-2018,116771781
28-08-2018,116641396
29-08-2018,116147949
30-08-2018,116262550
31-08-2018,118048316
03-09-2018,116814243
04-09-2018,117205831
05-09-2018,116129805
06-09-2018,116718542
07-09-2018,117217956
10-09-2018,116492321
11-09-2018,114775404
12-09-2018,115714662
14-09-2018,116516567
17-09-2018,116614581
18-09-2018,116355823
19-09-2018,116335108
21-09-2018,114977996
24-09-2018,115748961
25-09-2018,115632440
26-09-2018,114241896
27-09-2018,114942271
28-09-2018,114095907
01-10-2018,116095162
03-10-2018,114500123
04-10-2018,112347739
05-10-2018,112294647
08-10-2018,111585053
09-10-2018,112501412
10-10-2018,111964993
11-10-2018,110064014
12-10-2018,110642627
15-10-2018,111118307
16-10-2018,111497361
17-10-2018,112128027
19-10-2018,110126250
22-10-2018,110183720
23-10-2018,108458265
24-10-2018,108886553
25-10-2018,109438315
26-10-2018,108086549
29-10-2018,110822904
30-10-2018,111239683
31-10-2018,113542804
01-11-2018,112418615
02-11-2018,111360268
05-11-2018,111891007
06-11-2018,111867359
07-11-2018,112312210
09-11-2018,112599355
12-11-2018,112169560
13-11-2018,112554881
14-11-2018,111782660
15-11-2018,113012638
16-11-2018,114060815
19-11-2018,114318527
20-11-2018,112008088
21-11-2018,110193028
22-11-2018,109578048
26-11-2018,111300891
27-11-2018,111653247
28-11-2018,112926194
29-11-2018,112074836
30-11-2018,113321903
03-12-2018,114498389
04-12-2018,115055810
05-12-2018,114491371
06-12-2018,112061502
07-12-2018,111615416
10-12-2018,110210060
11-12-2018,111468120
12-12-2018,113283409
13-12-2018,113734055
14-12-2018,114003454
17-12-2018,115175596
18-12-2018,115132256
19-12-2018,115335624
20-12-2018,115143661
21-12-2018,113331084
24-12-2018,113240273
26-12-2018,112668086
27-12-2018,113522565
28-12-2018,114229356
31-12-2018,114459567
01-01-2019,114330354
02-01-2019,113558552
03-01-2019,113095348
04-01-2019,112448756
07-01-2019,112721802
08-01-2019,112662223
09-01-2019,113325579
10-01-2019,113533246
11-01-2019,113148292
14-01-2019,111847064
15-01-2019,114000261
16-01-2019,113882059
17-01-2019,114765607
18-01-2019,115695117
21-01-2019,114819685
22-01-2019,114259549
23-01-2019,114228119
24-01-2019,115014188
25-01-2019,115026056
28-01-2019,115638125
29-01-2019,116378411
30-01-2019,117039085
31-01-2019,118071435
01-02-2019,119427212
04-02-2019,118680422
05-02-2019,118489927
06-02-2019,120609566
07-02-2019,120821039
08-02-2019,119005617
11-02-2019,117155650
12-02-2019,116913646
14-02-2019,116221766
15-02-2019,116253890
18-02-2019,114775702
19-02-2019,113432090
20-02-2019,114936617
21-02-2019,115506838
22-02-2019,116159668
25-02-2019,117976766
26-02-2019,118119669
27-02-2019,117407492
28-02-2019,116694645
01-03-2019,117179840
05-03-2019,117067485
06-03-2019,117497593
07-03-2019,116260915
08-03-2019,115053032
11-03-2019,116509712
12-03-2019,116423617
13-03-2019,115698705
14-03-2019,115520010
15-03-2019,116539219
18-03-2019,116070386
19-03-2019,117179541
20-03-2019,116939354
22-03-2019,116642689
25-03-2019,116462483
26-03-2019,116534745
27-03-2019,116430233
28-03-2019,116430233
01-04-2019,117719410
02-04-2019,118218386
03-04-2019,118461947
04-04-2019,117076963
05-04-2019,117827235
08-04-2019,118373526
09-04-2019,119493845
10-04-2019,119347848
11-04-2019,119942473
12-04-2019,120446409
15-04-2019,122201303
16-04-2019,122169566
18-04-2019,121977786
22-04-2019,121969197
23-04-2019,121959763
24-04-2019,123129882
25-04-2019,123503517
26-04-2019,124142224
30-04-2019,125355567
02-05-2019,125400432
03-05-2019,124581586
06-05-2019,124445842
07-05-2019,124534408
08-05-2019,123826474
09-05-2019,123475058
10-05-2019,121907388
13-05-2019,120376997
14-05-2019,119018155
15-05-2019,118537449
16-05-2019,118577995
17-05-2019,118456632
20-05-2019,119816745
21-05-2019,119798071
22-05-2019,119306569
23-05-2019,119982397
24-05-2019,120645038
27-05-2019,121459809
28-05-2019,122502870
29-05-2019,122449109
30-05-2019,123597117
31-05-2019,124674999
03-06-2019,126693319
04-06-2019,125983427
06-06-2019,126069298
07-06-2019,125896635
10-06-2019,126563260
11-06-2019,126626728
