,Date,portfolio_values
0,2018-03-28,100000000
1,2018-04-02,101802632
2,2018-04-03,101549640
3,2018-04-04,100340356
4,2018-04-05,101413533
5,2018-04-06,101329139
6,2018-04-09,100994718
7,2018-04-10,101809744
8,2018-04-11,102643168
9,2018-04-12,103510905
10,2018-04-13,104285214
11,2018-04-16,104955430
12,2018-04-17,105498740
13,2018-04-18,104998336
14,2018-04-19,106123458
15,2018-04-20,108547087
16,2018-04-23,108737472
17,2018-04-24,107413271
18,2018-04-25,107495500
19,2018-04-26,107574068
20,2018-04-27,106626405
21,2018-04-30,107951529
22,2018-05-02,106453600
23,2018-05-03,104864190
24,2018-05-04,104989269
25,2018-05-07,104524417
26,2018-05-08,104490591
27,2018-05-09,104303565
28,2018-05-10,103721986
29,2018-05-11,105317425
30,2018-05-14,105220283
31,2018-05-15,105681679
32,2018-05-16,106123582
33,2018-05-17,106307244
34,2018-05-18,105577089
35,2018-05-21,104952650
36,2018-05-22,105068160
37,2018-05-23,104781578
38,2018-05-24,106041908
39,2018-05-25,106129648
40,2018-05-28,105786881
41,2018-05-29,105704175
42,2018-05-30,105915222
43,2018-05-31,106395458
44,2018-06-01,105716560
45,2018-06-04,105488452
46,2018-06-05,103990153
47,2018-06-06,104788867
48,2018-06-07,105986860
49,2018-06-08,107033140
50,2018-06-11,106705943
51,2018-06-12,107163147
52,2018-06-13,108047639
53,2018-06-14,107893454
54,2018-06-15,109061716
55,2018-06-18,108590311
56,2018-06-19,107877837
57,2018-06-20,107641503
58,2018-06-21,106878537
59,2018-06-22,107105741
60,2018-06-25,107019247
61,2018-06-26,107363857
62,2018-06-27,107408956
63,2018-06-28,105840740
64,2018-06-29,106726321
65,2018-07-02,106684804
66,2018-07-03,107243622
67,2018-07-04,107680865
68,2018-07-05,107855835
69,2018-07-06,107639694
70,2018-07-09,108054320
71,2018-07-10,108886091
72,2018-07-11,109349665
73,2018-07-12,109160693
74,2018-07-13,108714776
75,2018-07-16,107767196
76,2018-07-17,108969592
77,2018-07-18,108546068
78,2018-07-19,107805410
79,2018-07-20,108123707
80,2018-07-23,108448735
81,2018-07-24,108572701
82,2018-07-25,107340062
83,2018-07-26,107712293
84,2018-07-27,107750072
85,2018-07-30,107760180
86,2018-07-31,109281185
87,2018-08-01,110708450
88,2018-08-02,110610245
89,2018-08-03,110792857
90,2018-08-06,110879754
91,2018-08-07,110562033
92,2018-08-08,110340706
93,2018-08-09,110403478
94,2018-08-10,109803373
95,2018-08-13,111578337
96,2018-08-14,113113959
97,2018-08-16,113112234
98,2018-08-17,114411915
99,2018-08-20,114527101
100,2018-08-21,115574725
101,2018-08-23,116886423
102,2018-08-24,117272075
103,2018-08-27,118424119
104,2018-08-28,118265116
105,2018-08-29,117548980
106,2018-08-30,117593019
107,2018-08-31,119482445
108,2018-09-03,118461472
109,2018-09-04,118059776
110,2018-09-05,117097880
111,2018-09-06,117714367
112,2018-09-07,118694116
113,2018-09-10,117703149
114,2018-09-11,116316148
115,2018-09-12,117266609
116,2018-09-14,118421372
117,2018-09-17,118019710
118,2018-09-18,117379193
119,2018-09-19,117082423
120,2018-09-21,115855736
121,2018-09-24,115774999
122,2018-09-25,116140834
123,2018-09-26,115083352
124,2018-09-27,115755874
125,2018-09-28,115193693
126,2018-10-01,116602980
127,2018-10-03,115104809
128,2018-10-04,112548262
129,2018-10-05,112150704
130,2018-10-08,112080317
131,2018-10-09,112655740
132,2018-10-10,112299084
133,2018-10-11,110421756
134,2018-10-12,111395263
135,2018-10-15,112232527
136,2018-10-16,112822860
137,2018-10-17,113253005
138,2018-10-19,111215703
139,2018-10-22,110977894
140,2018-10-23,108611957
141,2018-10-24,109525118
142,2018-10-25,109952501
143,2018-10-26,108836295
144,2018-10-29,111556650
145,2018-10-30,111732339
146,2018-10-31,114001693
147,2018-11-01,112532380
148,2018-11-02,111918787
149,2018-11-05,112368819
150,2018-11-06,112262408
151,2018-11-07,112745242
152,2018-11-09,113415293
153,2018-11-12,112988805
154,2018-11-13,113267123
