,Date,portfolio_values
0,2018-03-28,100000000
1,2018-04-02,101748062
2,2018-04-03,101532692
3,2018-04-04,100271127
4,2018-04-05,101416272
5,2018-04-06,101249510
6,2018-04-09,100840640
7,2018-04-10,101499011
8,2018-04-11,102227756
9,2018-04-12,103072223
10,2018-04-13,103900599
11,2018-04-16,104227549
12,2018-04-17,104633822
13,2018-04-18,104206720
14,2018-04-19,105333910
15,2018-04-20,107631670
16,2018-04-23,107913106
17,2018-04-24,106623635
18,2018-04-25,106606461
19,2018-04-26,106625655
20,2018-04-27,105984074
21,2018-04-30,107242099
22,2018-05-02,106009233
23,2018-05-03,104589574
24,2018-05-04,104566148
25,2018-05-07,104103066
26,2018-05-08,103968227
27,2018-05-09,103807833
28,2018-05-10,103003905
29,2018-05-11,104430918
30,2018-05-14,104522065
31,2018-05-15,104908168
32,2018-05-16,105184272
33,2018-05-17,105218128
34,2018-05-18,104631298
35,2018-05-21,103727412
36,2018-05-22,104396155
37,2018-05-23,103870139
38,2018-05-24,105260718
39,2018-05-25,105367157
40,2018-05-28,105086118
41,2018-05-29,104978654
42,2018-05-30,105042013
43,2018-05-31,105489268
44,2018-06-01,104861754
45,2018-06-04,105027304
46,2018-06-05,103511567
47,2018-06-06,104287570
48,2018-06-07,105414363
49,2018-06-08,106734546
50,2018-06-11,106560494
51,2018-06-12,107343158
52,2018-06-13,108463203
53,2018-06-14,108200910
54,2018-06-15,109805044
55,2018-06-18,109453614
56,2018-06-19,108697061
57,2018-06-20,108410482
58,2018-06-21,107594236
59,2018-06-22,107872723
60,2018-06-25,107798558
61,2018-06-26,108033686
62,2018-06-27,108119753
63,2018-06-28,106966172
64,2018-06-29,107591644
65,2018-07-02,107782352
66,2018-07-03,108523188
67,2018-07-04,108998341
68,2018-07-05,108615474
69,2018-07-06,108318654
70,2018-07-09,109016853
71,2018-07-10,109696072
72,2018-07-11,110141649
73,2018-07-12,110014380
74,2018-07-13,109664039
75,2018-07-16,108157172
76,2018-07-17,109087149
77,2018-07-18,108695937
78,2018-07-19,107886624
79,2018-07-20,108477489
80,2018-07-23,108764998
81,2018-07-24,109172072
82,2018-07-25,108237088
83,2018-07-26,108651085
84,2018-07-27,108481932
85,2018-07-30,108258484
86,2018-07-31,109877822
87,2018-08-01,111180598
88,2018-08-02,111308519
89,2018-08-03,111755258
90,2018-08-06,111611775
91,2018-08-07,111500711
92,2018-08-08,111223433
93,2018-08-09,111371569
94,2018-08-10,110816843
95,2018-08-13,112580255
96,2018-08-14,114006915
97,2018-08-16,114469114
98,2018-08-17,115601764
99,2018-08-20,115423353
100,2018-08-21,116417335
101,2018-08-23,117825001
102,2018-08-24,117938755
103,2018-08-27,119156370
104,2018-08-28,118976222
105,2018-08-29,118146068
106,2018-08-30,118212940
107,2018-08-31,120428502
108,2018-09-03,119940479
109,2018-09-04,119697770
110,2018-09-05,118888930
111,2018-09-06,119358794
112,2018-09-07,120526500
113,2018-09-10,119391921
114,2018-09-11,118126366
115,2018-09-12,119065235
116,2018-09-14,120105960
117,2018-09-17,119601758
118,2018-09-18,119030159
119,2018-09-19,118886119
120,2018-09-21,117441985
121,2018-09-24,117557528
122,2018-09-25,118215958
123,2018-09-26,117166531
124,2018-09-27,117585982
125,2018-09-28,117153200
126,2018-10-01,118484044
127,2018-10-03,116888474
128,2018-10-04,113964210
129,2018-10-05,113981315
130,2018-10-08,113549899
131,2018-10-09,114543628
132,2018-10-10,114113852
133,2018-10-11,112042765
134,2018-10-12,112900235
135,2018-10-15,114369407
136,2018-10-16,114836199
137,2018-10-17,115309475
138,2018-10-19,113236563
139,2018-10-22,112850548
140,2018-10-23,110360997
141,2018-10-24,110845275
142,2018-10-25,111112031
143,2018-10-26,110011866
144,2018-10-29,112969881
145,2018-10-30,113589353
146,2018-10-31,115671081
147,2018-11-01,113821279
148,2018-11-02,113086748
149,2018-11-05,113508455
150,2018-11-06,113548701
151,2018-11-07,114095413
152,2018-11-09,114197737
153,2018-11-12,113976278
154,2018-11-13,114322498
155,2018-11-14,113779612
156,2018-11-15,114835781
157,2018-11-16,115660740
158,2018-11-19,115882209
159,2018-11-20,113720492
160,2018-11-21,112963810
161,2018-11-22,112546421
162,2018-11-26,113697962
163,2018-11-27,114313016
164,2018-11-28,115569924
165,2018-11-29,115474589
166,2018-11-30,116853103
167,2018-12-03,117570922
168,2018-12-04,118088727
169,2018-12-05,117200413
170,2018-12-06,114864329
171,2018-12-07,115102417
172,2018-12-10,113294607
173,2018-12-11,114941250
174,2018-12-12,115584551
175,2018-12-13,116428756
176,2018-12-14,116828005
177,2018-12-17,117524951
178,2018-12-18,117456437
179,2018-12-19,117611036
180,2018-12-20,117916126
181,2018-12-21,116068780
182,2018-12-24,115553079
183,2018-12-26,115176164
184,2018-12-27,115928794
185,2018-12-28,116512301
186,2018-12-31,116772148
187,2019-01-01,116695271
188,2019-01-02,116205731
189,2019-01-03,115705318
190,2019-01-04,115316213
191,2019-01-07,115469111
192,2019-01-08,115734436
193,2019-01-09,116365596
194,2019-01-10,116503005
195,2019-01-11,116323482
196,2019-01-14,115528774
197,2019-01-15,117700418
198,2019-01-16,117897483
199,2019-01-17,118505842
200,2019-01-18,119006122
201,2019-01-21,118857286
202,2019-01-22,118527157
203,2019-01-23,118239370
