Date,Nifty,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
01-01-2008,6144.350098,75.36251068,238.6159821,268.9159851,98.24478149,173.687973,434.7885742,2557.110596,37.53906631,416.4112854,47.42142868,115.6630783,194.8355865,,409.913208,640.4718628,33.30104065,506.1024475,56.73881531,470.3663635,154.2709503,,425.5670776,170.715332,161.3269806,182.2546082,115.6943359,155.2196655,50.27984619,102.0378952,318.8668518,751.5184937,189.1873474,884.4539795,437.1955872,123.4199142,110.0813141,69.14287567,632.4171753,,186.2655334,107.7085342,71.09481812,130.9371796,27.21123505,194.1582794,222.2608337,70.00374603,926.8271484,99.16147614,99.76895142
02-01-2008,6179.399902,79.13111115,240.5663605,269.3960266,98.4353714,184.7784424,434.0462646,2559.071533,40.22105789,415.8303223,47.52630615,116.8241348,201.9884796,,412.0348816,658.489624,32.99889374,503.4273987,55.38224411,492.2862854,153.0042877,,425.7498779,172.1808777,159.3699646,187.9651337,116.6356583,155.3484955,51.08857346,100.8545532,345.0130005,750.0864868,187.2628937,889.3598022,437.1955872,123.252182,111.7811356,68.76556396,635.4147339,,189.3796692,106.5126877,75.73151398,136.2959137,27.24917984,193.3205566,219.179657,71.26999664,927.4344482,105.0068817,98.86986542
03-01-2008,6178.549805,79.47142792,234.7428284,261.282959,98.6736145,184.9927521,430.4931946,2532.598633,39.11307907,408.449707,49.45983124,118.6245804,199.6810913,,410.9360046,630.8887329,34.77501297,484.3461609,54.61585617,490.0653687,151.1400604,,432.6046448,168.695282,164.5764313,182.2842865,114.8426437,151.8608551,49.55199432,103.812912,332.7859497,734.9518433,181.9378357,868.0856934,437.1955872,132.3606415,115.000145,71.59542084,644.7290649,,187.1837616,102.1203613,74.30601501,135.9610138,27.03317451,186.1493073,220.8567505,69.88141632,922.0626221,105.5114975,95.94061279
04-01-2008,6274.299805,79.23103333,228.2201691,260.9859924,98.83385468,188.3948822,432.9537048,2540.442871,44.0110054,408.1269836,49.01292419,118.0400772,197.1891022,,409.8479004,643.6072998,33.92982483,483.163269,55.50556183,503.1819763,151.3184509,,426.8771667,174.200943,171.370697,190.790741,117.89077,150.6035156,50.68421555,103.2444458,340.5050049,770.1148071,180.1445923,860.0133667,437.1955872,130.1314392,118.28965,71.21811676,664.5571899,,186.6796875,99.93994141,76.38679504,134.2520294,27.18496513,185.0722351,218.4094238,69.55974579,913.0009155,107.5160446,96.02761078
07-01-2008,6279.100098,78.20380402,225.8098297,255.7296753,105.0277557,194.6902161,423.0533142,2485.535156,42.76234818,403.2639465,47.46245956,119.47966,196.2661438,,409.3910217,629.1223755,33.87674332,472.9000549,52.73072815,501.5405884,147.6612549,,427.7301025,172.6957855,175.1740265,202.1005402,117.2183762,145.4453735,53.44545364,100.4794464,342.7034607,776.2955322,177.9686584,859.6564941,437.1955872,128.8610687,114.3968582,70.6285553,670.6077271,,187.7816162,100.8660431,75.06476593,134.8961029,27.02296638,179.6223755,211.6718903,75.69844055,923.4172363,108.3150558,93.28205109
08-01-2008,6287.850098,76.21800995,221.6790924,250.2905273,108.1290436,190.3326111,423.3786316,2487.496094,44.85078812,419.9832458,44.77195358,120.2524109,193.7279816,,401.557251,622.3657837,32.86008072,457.1927185,53.00380707,495.778717,153.0444489,,421.3934021,165.4869385,174.730957,198.7483673,113.3633957,147.7023315,53.37613678,97.55204773,328.0679932,786.1830444,181.5223083,838.2932129,437.1955872,126.9914474,116.334465,68.22316742,678.2457275,,192.59935,99.6701889,72.14862823,133.0927124,26.01595688,181.8778381,215.2795258,72.57926178,907.5823364,105.6656952,94.6258316
09-01-2008,6272,73.14570618,217.1619873,245.8569641,104.2047882,195.6635284,423.7289429,2490.437744,44.49465942,419.230072,42.20000839,121.6095963,193.3126678,,399.0003662,616.9780273,32.688591,464.5993958,52.87168121,511.8165283,155.6178589,,419.3217468,167.9030609,172.8108215,194.0019684,111.1669617,146.875946,52.6944809,94.74450684,320.4476929,787.1343994,176.8861389,824.8688965,437.1955872,132.8639832,114.6082306,67.13837433,673.5829468,,191.8140106,98.82499695,71.78840637,132.2854614,26.08892059,183.4335785,212.3739166,75.26126099,896.6054077,109.3804092,94.89651489
10-01-2008,6156.950195,70.43868256,206.3614044,236.0071106,101.5496292,194.5116425,419.0748291,2456.12085,43.09649277,416.3468018,39.87430573,121.8410187,187.1750488,,377.7404175,602.4048462,31.16153717,453.2070313,52.1845665,504.0108643,153.601944,,416.3360596,159.4663239,168.7859497,201.1512299,104.6224442,142.397583,50.78819656,93.16285706,309.3939819,763.2998047,176.0660248,810.9983521,437.1955872,127.4468231,113.9785461,65.53481293,672.2839355,,188.3051453,98.54624176,67.81845856,128.6786041,24.93159294,180.7363129,203.8812866,70.48396301,864.1884766,114.2305679,94.2971344
11-01-2008,6200.100098,67.01352692,199.7927246,236.4413452,100.2458801,208.9059753,420.0006104,2461.071777,42.52052307,415.2278442,39.62805939,126.2616882,189.6209106,,384.5187683,599.6225586,30.32044029,454.2758179,50.89844131,492.2702942,157.3973999,,402.9010315,160.1000977,165.2041473,212.8466797,111.6152191,140.5493622,50.93838501,92.89989471,304.7254639,757.0738525,169.4944458,802.5244751,437.1955872,130.5149536,114.6787109,66.52526855,694.4433594,,190.2745056,103.0284958,66.53475189,131.0659943,24.90678215,182.2276306,198.12854,71.09103394,848.7741089,112.1278915,94.51948547
14-01-2008,6206.799805,64.98093414,190.4640808,242.5431976,97.37853241,226.4792786,409.3913269,2397.487549,41.51808167,390.4824219,42.59218216,125.4968185,189.4362946,,384.4969482,590.2603149,31.25136757,446.6001282,50.01753998,479.4272766,159.0565186,,429.31427,159.6643982,161.7701111,209.1385651,110.7187119,135.9065552,51.87419891,95.13507843,316.2485657,755.6781006,165.6018066,770.1898193,437.1955872,136.4594574,113.5161591,67.53927612,715.1481934,,192.4860992,99.26106262,67.15171814,131.4953766,24.46603394,176.9619598,194.0918427,70.87809753,874.9785767,115.7304535,89.16366577
