SNo,Portfolio Name,Leg ID,Exchange,Exchange Symbol,Product,Order Type,Order ID,Time,Txn,Qty,Filled Qty,Exchg Time,Avg Price,Status,Limit Price,Order Failed,User ID,User Alias,Remarks,Tag
1,NF_CSL_STRANGS,1355,NFO,NIFTY 04MAY23 18150 CE,MIS,MARKET,2.02E+11,04-May-2023 09.18.11,SELL,150,150,04-May-2023 09.18.11,15.9,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002264
2,NF_CSL_STRANGS,1355,NFO,NIFTY 04MAY23 18150 CE,MIS,MARKET,2.31E+14,04-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,15.65,COMPLETE,0,FALSE,50062865,RKEDEL,,10002265
3,NF_CSL_STRANGS,1355,NFO,NIFTY 04MAY23 18150 CE,MIS,MARKET,1100040799,04-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,15.53,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002266
4,NF_CSL_STRANGS,1356,NFO,NIFTY 04MAY23 18050 PE,MIS,MARKET,2.31E+14,04-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,17.9,COMPLETE,0,FALSE,50062865,RKEDEL,,10002269
5,NF_CSL_STRANGS,1356,NFO,NIFTY 04MAY23 18050 PE,MIS,MARKET,1100040709,04-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,17.9,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002270
6,NF_CSL_STRANGS,1356,NFO,NIFTY 04MAY23 18050 PE,MIS,MARKET,2.02E+11,04-May-2023 09.18.11,SELL,150,150,04-May-2023 09.18.11,18.55,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002271
7,NF_CSL_STRANGS,1357,NFO,NIFTY 04MAY23 18200 CE,MIS,MARKET,2.31E+14,04-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,5.65,COMPLETE,0,FALSE,50062865,RKEDEL,,10002274
8,NF_CSL_STRANGS,1357,NFO,NIFTY 04MAY23 18200 CE,MIS,MARKET,1100040784,04-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,5.65,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002275
9,NF_CSL_STRANGS,1357,NFO,NIFTY 04MAY23 18200 CE,MIS,MARKET,2.02E+11,04-May-2023 09.18.11,SELL,150,150,04-May-2023 09.18.11,6.05,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002276
10,NF_CSL_STRANGS,1358,NFO,NIFTY 04MAY23 18000 PE,MIS,MARKET,2.31E+14,04-May-2023 09.18.11,SELL,150,150,01-Jan-0001 00.00.00,8.2,COMPLETE,0,FALSE,50062865,RKEDEL,,10002279
